Sample, Time, ACCX, ACCY, ACCZ, MAGX, MAGY, MAGZ, GYRX, GYRY, GYRZ
0,82445.390000,252.008,-8.517,29.767,460.701,-97.901,3.675,1.850,-4.370,-3.930
1,82445.398000,251.010,-8.517,29.767,460.795,-91.308,2.875,7.850,-1.370,-1.930
2,82445.438000,252.008,-10.521,30.760,462.642,-97.874,3.679,13.850,-0.370,-0.930
3,82445.471000,250.012,-7.515,33.736,460.791,-91.361,0.906,13.850,-7.370,2.070
4,82445.511000,250.012,-7.515,31.752,461.768,-91.268,3.862,14.850,-4.370,1.070
5,82445.560000,251.010,-5.511,30.760,462.613,-99.792,2.642,9.850,-5.370,-0.930
6,82445.592000,251.010,-6.513,30.760,462.707,-93.198,1.842,1.850,-4.370,-2.930
7,82445.635000,252.008,-5.511,28.775,463.611,-97.887,2.697,-3.150,-3.370,-1.930
8,82445.674000,251.010,-8.517,30.760,465.653,-91.187,4.854,-3.150,-1.370,-0.930
9,82445.695000,251.010,-7.515,30.760,462.646,-97.060,-1.216,3.850,-0.370,-3.930
10,82445.741000,252.008,-7.515,30.760,463.731,-89.428,0.965,8.850,-3.370,-1.930
11,82445.776000,252.008,-7.515,29.767,463.568,-100.750,1.634,12.850,-3.370,1.070
12,82445.816000,253.006,-6.513,28.775,463.688,-92.292,-0.098,8.850,-3.370,-1.930
13,82445.850000,252.008,-6.513,30.760,460.685,-98.873,2.665,2.850,-0.370,-2.930
14,82445.892000,251.010,-7.515,29.767,464.676,-91.280,1.899,6.850,-5.370,-0.930
15,82445.932000,253.006,-6.513,29.767,461.650,-98.939,-0.286,1.850,-2.370,-0.930
16,82445.969000,252.008,-6.513,31.752,462.725,-92.200,3.837,-0.150,-1.370,-2.930
17,82445.989000,251.010,-8.517,31.752,460.681,-98.926,0.696,2.850,-0.370,-3.930
18,82446.37000,253.006,-7.515,30.760,460.776,-92.333,-0.104,9.850,-1.370,-0.930
19,82446.72000,251.010,-7.515,29.767,463.705,-91.293,1.897,3.850,5.630,-4.930
20,82446.112000,251.010,-8.517,30.760,460.699,-97.928,2.691,8.850,-1.370,-0.930
21,82446.152000,250.012,-7.515,28.775,464.662,-92.225,1.873,11.850,-2.370,1.070
22,82446.192000,251.010,-6.513,28.775,459.876,-87.592,1.010,6.850,-3.370,0.070
23,82446.232000,251.010,-6.513,28.775,461.713,-95.051,3.756,3.850,-5.370,-3.930
24,82446.280000,252.008,-7.515,30.760,462.666,-96.035,1.763,-0.150,-0.370,-0.930
25,82446.289000,251.010,-9.519,30.760,463.694,-92.213,2.855,2.850,0.630,-0.930
26,82446.330000,252.008,-6.513,29.767,463.664,-94.130,1.818,2.850,-0.370,-0.930
27,82446.369000,251.010,-9.519,31.752,462.733,-91.334,0.910,6.850,-0.370,-2.930
28,82446.410000,251.010,-6.513,29.767,458.756,-97.982,1.702,9.850,-0.370,0.070
29,82446.456000,253.006,-5.511,27.783,462.701,-93.277,-1.111,7.850,-0.370,0.070
30,82446.489000,252.008,-5.511,28.775,459.711,-98.940,0.694,4.850,-1.370,-1.930
31,82446.530000,251.010,-7.515,29.767,462.699,-94.065,4.769,5.850,-2.370,-1.930
32,82446.569000,252.008,-5.511,26.791,462.666,-96.035,1.763,4.850,-0.370,0.070
33,82446.589000,252.008,-5.511,29.767,463.656,-94.997,4.745,-1.150,0.630,-0.930
34,82446.629000,251.010,-6.513,29.767,460.723,-96.089,0.775,-0.150,-3.370,-0.930
35,82446.669000,252.008,-6.513,30.760,466.551,-95.954,2.756,-0.150,2.630,0.070
36,82446.709000,252.008,-6.513,30.760,462.650,-97.007,0.753,-3.150,5.630,-3.930
37,82446.749000,251.010,-9.519,31.752,463.719,-90.348,1.923,11.850,0.630,-0.930
38,82446.789000,251.010,-5.511,30.760,465.605,-94.103,1.822,12.850,0.630,3.070
39,82446.833000,252.008,-6.513,29.767,460.825,-89.391,3.912,11.850,-4.370,0.070
40,82446.881000,251.010,-6.513,29.767,464.595,-96.927,2.725,5.850,-5.370,-0.930
