Sample, Time, ACCX, ACCY, ACCZ, MAGX, MAGY, MAGZ, GYRX, GYRY, GYRZ
0,77441.944000,254.023,17.603,-18.926,431.067,182.931,106.572,34.960,-195.490,85.980
1,77441.984000,256.000,15.591,-17.930,434.941,183.012,108.543,12.960,-161.490,75.980
2,77442.24000,255.012,12.574,-27.891,435.949,187.811,105.710,22.960,-109.490,57.980
3,77442.64000,253.035,14.585,-29.883,433.967,182.938,105.598,-34.040,-17.490,5.980
4,77442.104000,255.012,13.580,-24.903,429.116,181.877,103.603,-80.040,57.510,-31.020
5,77442.144000,254.023,15.591,-22.911,431.085,183.988,110.518,-119.040,123.510,-63.020
6,77442.184000,254.023,15.591,-18.926,432.008,179.165,111.394,-141.040,175.510,-88.020
7,77442.204000,255.012,18.609,-10.957,428.229,187.045,118.425,-130.040,196.510,-94.020
8,77442.244000,253.035,19.615,-5.977,428.283,191.964,121.477,-110.040,199.510,-107.020
9,77442.284000,253.035,21.627,-0.996,428.282,190.195,129.283,-83.040,194.510,-113.020
10,77442.322000,248.093,26.656,0.996,422.543,196.050,133.323,-36.040,168.510,-102.020
11,77442.362000,251.058,17.603,14.942,427.401,198.060,134.359,-47.040,143.510,-83.020
12,77442.400000,252.046,21.627,9.961,421.618,199.967,135.369,73.960,113.510,-47.020
13,77442.442000,250.069,21.627,12.949,423.520,196.145,137.250,46.960,65.510,-14.020
14,77442.484000,246.116,32.692,-0.996,422.550,196.114,136.267,165.960,33.510,13.980
15,77442.501000,248.093,30.680,-1.992,421.582,196.105,136.264,184.960,-26.490,32.980
16,77442.541000,248.093,29.674,-3.984,425.507,202.831,131.519,267.960,-31.490,38.980
17,77442.581000,241.174,29.674,-4.981,424.552,204.699,128.616,203.960,-105.490,32.980
18,77442.620000,267.861,34.703,10.957,425.416,194.913,124.478,181.960,-146.490,54.980
19,77442.661000,260.942,32.692,-6.973,425.506,204.579,122.731,-63.040,-138.490,-0.020
20,77442.701000,256.000,20.621,-14.942,427.372,197.780,121.604,-67.040,-36.490,-42.020
21,77442.741000,255.012,29.674,-19.922,421.617,202.599,122.679,35.960,140.510,-57.020
22,77442.780000,255.012,29.674,-0.996,425.538,206.650,128.661,-189.040,137.510,-84.020
23,77442.820000,247.104,21.627,9.961,423.610,206.696,131.600,-168.040,123.510,-57.020
24,77442.845000,247.104,28.668,11.953,419.686,200.854,132.443,-164.040,51.510,-41.020
25,77442.880000,250.069,28.668,4.981,420.622,197.045,135.303,-110.040,-1.490,-14.020
26,77442.925000,250.069,26.656,3.984,421.595,197.982,133.364,-52.040,-59.490,23.980
27,77442.965000,251.058,28.668,5.977,424.525,200.923,133.436,-37.040,-82.490,51.980
28,77443.0,252.046,28.668,-1.992,423.553,200.870,131.471,79.960,-7.490,61.980
29,77443.44000,254.023,28.668,-6.973,422.574,198.984,134.369,31.960,15.510,45.980
30,77443.82000,254.023,31.686,-7.969,424.471,196.004,130.384,-93.040,11.510,-1.020
31,77443.120000,254.023,31.686,1.992,424.532,200.988,136.379,-186.040,13.510,-27.020
32,77443.147000,253.035,19.615,1.992,419.678,199.020,137.306,-250.040,14.510,-30.020
33,77443.181000,250.069,21.627,5.977,422.543,195.165,137.226,-180.040,26.510,-28.020
34,77443.227000,251.058,18.609,9.961,420.615,195.211,140.165,-132.040,20.510,-17.020
35,77443.261000,249.081,35.709,2.988,425.485,198.214,142.203,39.960,-3.490,23.980
36,77443.305000,253.035,28.668,1.992,422.535,193.331,142.089,-28.040,-49.490,38.980
37,77443.344000,255.012,25.650,1.992,428.394,200.076,137.348,80.960,6.510,59.980
38,77443.381000,250.069,19.615,2.988,426.400,193.326,140.135,119.960,66.510,49.980
39,77443.425000,250.069,21.627,6.973,425.487,199.120,139.281,173.960,39.510,41.980
40,77443.441000,248.093,21.627,0.996,425.447,195.215,138.214,282.960,44.510,40.980
41,77443.484000,253.035,35.709,2.988,425.375,188.354,135.120,166.960,-59.490,48.980
42,77443.522000,256.988,45.768,26.895,426.462,200.963,134.421,2.960,-95.490,47.980
43,77443.565000,266.873,33.697,-4.981,428.383,199.968,132.442,8.960,-134.490,81.980
44,77443.605000,256.988,21.627,-14.942,428.254,188.167,125.315,-352.040,-231.490,37.980
45,77443.645000,244.139,9.556,-27.891,426.357,192.031,125.397,-492.040,-210.490,-24.020
46,77443.684000,232.278,-15.591,-5.977,427.287,188.157,125.313,-129.040,17.510,-60.020
47,77443.724000,229.313,-3.521,-17.930,428.294,191.187,130.285,121.960,96.510,-30.020
48,77443.765000,228.324,11.568,-14.942,428.348,196.991,129.434,78.960,71.510,-15.020
49,77443.786000,297.514,72.927,20.918,425.453,197.027,132.370,108.960,82.510,-7.020
50,77443.825000,253.035,31.686,4.981,425.427,194.136,133.287,148.960,-19.490,54.980
51,77443.866000,255.012,33.697,16.934,423.438,190.083,126.328,-21.040,-86.490,48.980
52,77443.906000,262.919,32.692,-8.965,427.280,187.208,126.272,-65.040,-112.490,53.980
53,77443.941000,256.988,32.692,-13.946,425.409,193.964,125.438,-149.040,-179.490,20.980
54,77443.981000,248.093,2.515,-16.934,429.236,190.075,123.398,-231.040,-166.490,-5.020
55,77444.24000,238.208,-3.521,-15.938,430.133,183.245,121.287,-108.040,-32.490,-29.020
56,77444.65000,225.359,8.550,-26.895,429.175,183.322,125.209,-130.040,24.510,-60.020
57,77444.85000,255.012,41.745,-6.973,428.247,187.218,126.275,0.960,117.510,-44.020
58,77444.125000,278.734,36.715,3.984,427.364,195.061,130.369,129.960,132.510,-29.020
59,77444.165000,253.035,30.680,2.988,426.425,197.080,134.335,4.960,71.510,-65.020
60,77444.216000,252.046,33.697,-2.988,427.360,195.018,128.407,-151.040,39.510,-85.020
61,77444.246000,249.081,29.674,-0.996,425.429,194.158,134.268,-46.040,18.510,-30.020
62,77444.285000,245.127,25.650,3.984,424.497,198.010,133.371,1.960,-25.490,3.980
63,77444.325000,248.093,26.656,0.996,424.466,195.076,132.325,25.960,-56.490,23.980
64,77444.365000,251.058,24.644,-0.996,427.379,196.960,128.450,109.960,-77.490,52.980
65,77444.405000,247.104,22.633,-3.984,426.352,191.104,127.337,182.960,-93.490,72.980
66,77444.425000,252.046,20.621,-2.988,425.453,198.796,124.564,251.960,-104.490,102.980
67,77444.465000,261.931,25.650,0.000,430.124,183.159,117.362,331.960,-134.490,107.980
68,77444.505000,254.023,29.674,-11.953,431.154,190.806,111.650,160.960,-189.490,88.980
69,77444.546000,255.012,22.633,-19.922,430.214,193.709,111.713,119.960,-153.490,68.980
70,77444.586000,256.988,20.621,-8.965,434.028,188.806,107.689,103.960,-107.490,45.980
71,77444.626000,261.931,26.656,-13.946,432.141,194.526,103.890,142.960,-76.490,33.980
72,77444.667000,248.093,18.609,-24.903,434.987,189.614,99.864,112.960,-79.490,24.980
73,77444.707000,249.081,11.568,-21.914,430.216,196.363,100.004,94.960,-35.490,13.980
74,77444.727000,243.151,18.609,-25.899,433.106,195.398,99.008,46.960,-33.490,4.980
75,77444.767000,237.220,25.650,-17.930,434.069,195.365,97.048,72.960,-108.490,72.980
76,77444.807000,282.687,28.668,0.996,433.036,189.444,92.992,256.960,-170.490,133.980
77,77444.847000,273.792,64.880,-20.918,433.894,179.594,85.910,-212.040,-350.490,184.980
78,77444.882000,341.004,88.016,-26.895,434.812,175.612,80.920,-602.040,-320.490,287.980
79,77444.922000,252.046,-18.609,-146.428,439.556,167.719,72.910,-8.040,-714.490,302.980
80,77444.965000,365.714,-239.906,-431.315,452.871,151.563,38.256,-763.040,-2028.490,1082.980
81,77445.5000,327.166,-98.075,-383.502,469.773,116.005,-41.931,-19.040,-3339.490,1385.980
82,77445.45000,175.938,-33.697,-269.946,463.511,87.794,-130.830,171.960,-3552.490,1213.980
83,77445.64000,56.340,49.792,-152.405,439.026,75.002,-216.483,-47.040,-3180.490,905.980
84,77445.104000,9.884,33.697,-100.607,420.462,64.273,-255.006,-397.040,-2324.490,340.980
85,77445.144000,41.514,-15.591,-59.767,395.312,74.621,-302.882,-489.040,-1471.490,42.980
86,77445.184000,101.807,-30.680,-29.883,380.861,83.865,-317.417,-209.040,-231.490,-237.020
87,77445.225000,132.448,-53.815,53.790,384.771,88.692,-320.244,37.960,747.510,-445.020
88,77445.267000,131.459,-132.275,-203.206,404.282,101.006,-298.355,1041.960,1962.510,-864.020
89,77445.307000,400.309,-183.576,-109.572,426.551,99.626,-282.648,1807.960,1674.510,-533.020
90,77445.347000,512.988,46.774,6.973,444.068,105.189,-257.971,-230.040,1357.510,-365.020
91,77445.367000,284.664,87.010,-25.899,451.949,116.311,-241.036,144.960,1000.510,-310.020
92,77445.407000,273.792,11.568,-66.739,458.725,114.651,-231.252,787.960,734.510,-247.020
93,77445.444000,284.664,-36.715,-40.840,461.640,113.924,-221.455,-132.040,499.510,-117.020
94,77445.484000,286.641,15.591,-85.665,466.569,122.774,-218.307,304.960,294.510,-73.020
95,77445.525000,301.467,8.550,-82.677,467.494,117.972,-216.450,230.960,41.510,-32.020
96,77445.564000,299.490,-6.538,-83.673,465.503,113.013,-220.487,23.960,-150.490,-16.020
97,77445.602000,305.421,-2.515,-75.704,467.437,114.779,-229.270,-11.040,-410.490,1.980
98,77445.642000,329.143,15.591,-45.821,459.625,108.727,-236.285,1.960,-665.490,85.980
99,77445.662000,350.888,36.715,-19.922,446.023,106.287,-253.039,-360.040,-1074.490,355.980
100,77445.710000,392.402,16.597,-21.914,431.415,99.932,-270.863,-948.040,-1378.490,643.980
101,77445.744000,301.467,-11.568,-71.720,420.727,98.512,-286.607,-1007.040,-1377.490,799.980
102,77445.786000,230.301,-44.762,-159.377,412.885,89.527,-294.669,-1636.040,-1139.490,749.980
103,77445.827000,144.309,-90.028,-181.292,400.342,93.244,-296.574,-1082.040,-1019.490,890.980
104,77445.869000,78.085,36.715,-67.735,403.097,76.897,-291.047,21.960,201.510,648.980
105,77445.904000,18.780,-28.668,-66.739,420.442,64.964,-267.739,552.960,1120.510,406.980
106,77445.944000,18.780,41.745,-62.755,446.490,47.785,-221.975,1041.960,2319.510,42.980
107,77445.984000,45.467,27.662,-156.389,474.693,47.713,-149.348,578.960,2753.510,-494.020
108,77446.4000,178.903,-34.703,-209.183,491.511,70.807,-77.212,313.960,2749.510,-1108.020
109,77446.46000,257.977,-50.798,-217.152,493.006,110.212,-6.707,-195.040,2371.510,-1276.020
110,77446.86000,288.618,-515.521,-492.078,492.219,121.615,26.887,-922.040,873.510,204.980
111,77446.126000,174.950,365.642,118.537,493.026,105.120,26.523,276.960,-13.490,-394.020
112,77446.166000,473.452,-37.721,-102.599,498.895,109.319,38.396,-568.040,200.510,233.980
113,77446.210000,273.792,-4.527,-48.809,496.988,111.328,42.359,564.960,399.510,-39.020
114,77446.244000,239.197,-0.503,-51.798,492.273,122.133,50.435,198.960,390.510,-57.020
115,77446.296000,245.127,-31.686,-54.786,493.277,123.372,62.232,251.960,519.510,-36.020
116,77446.304000,236.232,-3.521,-47.813,493.271,121.560,68.076,443.960,530.510,-90.020
117,77446.347000,275.768,3.521,-21.914,491.439,129.567,80.018,250.960,508.510,-87.020
118,77446.387000,259.954,0.503,-34.864,491.471,130.753,89.851,228.960,475.510,-47.020
119,77446.429000,257.977,0.503,-25.899,488.574,129.020,100.593,-128.040,497.510,-53.020
120,77446.466000,245.127,-13.580,-16.934,485.737,133.134,112.447,-161.040,453.510,-67.020
121,77446.505000,257.977,2.515,18.926,487.694,133.369,122.263,-239.040,457.510,16.980
122,77446.549000,249.081,-26.656,15.938,486.693,128.635,128.039,-255.040,161.510,33.980
123,77446.584000,245.127,-37.721,-0.996,484.788,130.665,132.984,-190.040,69.510,-13.020
124,77446.626000,271.815,-12.574,2.988,483.811,129.685,132.960,-19.040,132.510,-8.020
125,77446.646000,244.139,-34.703,4.981,482.869,131.682,135.944,177.960,202.510,-77.020
126,77446.685000,256.000,-11.568,18.926,482.913,134.746,142.877,-33.040,198.510,-165.020
127,77446.724000,262.919,-23.639,2.988,481.013,137.704,145.881,-58.040,148.510,-207.020
128,77446.775000,250.069,-16.597,4.981,474.246,137.681,147.827,141.960,184.510,-331.020
129,77446.806000,259.954,4.527,17.930,472.471,154.167,148.189,82.960,156.510,-390.020
130,77446.849000,266.873,19.615,37.852,469.642,161.000,151.277,33.960,-10.490,-345.020
131,77446.889000,272.803,33.697,46.817,472.533,160.920,146.378,-239.040,-255.490,-218.020
132,77446.929000,282.687,54.821,11.953,469.669,165.660,142.555,-288.040,-277.490,-102.020
133,77446.949000,249.081,-29.674,-23.907,464.807,165.375,131.751,338.960,-411.490,-24.020
134,77446.989000,213.498,-20.621,0.000,469.702,174.786,116.279,664.960,-394.490,-145.020
135,77447.29000,195.707,21.627,21.914,467.844,185.188,104.738,1062.960,-85.490,-172.020
136,77447.69000,208.556,35.709,-6.973,462.042,185.153,105.706,788.960,184.510,-191.020
137,77447.106000,243.151,23.639,-19.922,457.315,195.850,108.875,-22.040,343.510,-208.020
138,77447.149000,237.220,-59.851,-10.957,458.305,196.075,118.689,-420.040,326.510,-33.020
139,77447.189000,202.625,-21.627,-9.961,459.283,195.308,127.500,-269.040,442.510,65.980
140,77447.232000,480.371,310.318,2.988,459.321,195.674,144.180,-25.040,441.510,-6.020
141,77447.269000,209.544,-12.574,12.949,459.309,193.797,147.080,403.960,261.510,136.980
142,77447.290000,246.116,-16.597,42.833,455.375,186.101,151.804,-101.040,219.510,5.980
143,77447.330000,264.896,34.703,28.887,453.508,192.015,156.835,-210.040,75.510,-41.020
144,77447.365000,256.000,-8.550,20.918,456.354,186.218,156.712,32.960,-16.490,31.980
145,77447.405000,255.012,23.639,24.903,454.464,191.032,155.834,-67.040,-42.490,-14.020
146,77447.445000,255.012,19.615,30.879,458.322,190.077,154.841,-222.040,-113.490,-4.020
147,77447.485000,248.093,20.621,23.907,457.240,179.280,149.695,-37.040,-185.490,53.980
148,77447.525000,246.116,7.544,27.891,461.121,181.195,146.804,-108.040,-316.490,149.980
149,77447.567000,257.977,12.574,5.977,464.011,181.978,137.021,150.960,-309.490,159.980
150,77447.587000,253.035,10.562,16.934,459.160,180.917,135.026,-154.040,-415.490,121.980
