Sample, Time, ACCX, ACCY, ACCZ, MAGX, MAGY, MAGZ, GYRX, GYRY, GYRZ
0,50161.188000,252.008,-16.532,9.922,472.684,-283.035,69.366,-60.150,-7.370,-6.930
1,50161.241000,253.006,-16.532,12.899,472.778,-276.442,68.566,-50.150,-13.370,-0.930
2,50161.250000,255.002,-17.534,13.891,472.762,-277.414,67.555,-54.150,-10.370,-3.930
3,50161.290000,256.000,-18.536,14.884,473.761,-275.509,67.610,-37.150,-3.370,-1.930
4,50161.329000,252.008,-16.532,9.922,476.517,-285.922,65.357,-50.150,-1.370,-5.930
5,50161.371000,253.006,-17.534,7.938,470.735,-283.168,65.424,-62.150,4.630,2.070
6,50161.412000,254.004,-15.530,8.930,473.686,-280.316,64.525,-91.150,17.630,12.070
7,50161.465000,253.006,-16.532,11.907,473.739,-276.560,63.646,-98.150,16.630,18.070
8,50161.490000,252.008,-18.536,17.860,470.778,-280.305,66.488,-70.150,25.630,12.070
9,50161.534000,252.008,-19.538,15.876,472.729,-279.384,64.549,-52.150,11.630,1.070
10,50161.555000,256.998,-20.540,17.860,469.825,-278.559,61.616,-11.150,10.630,-9.930
11,50161.590000,258.994,-20.540,20.837,470.803,-278.440,65.556,44.850,19.630,-8.930
12,50161.629000,251.010,-16.532,20.837,473.617,-285.044,64.393,96.850,3.630,-64.930
13,50161.671000,251.010,-21.542,19.845,472.806,-274.551,68.618,114.850,-48.370,-81.930
14,50161.709000,254.004,-12.524,19.845,474.749,-274.497,69.607,122.850,57.630,-73.930
15,50161.752000,251.010,-12.524,24.806,474.765,-273.525,70.617,68.850,133.630,-80.930
16,50161.797000,258.994,-21.542,16.868,478.657,-273.338,75.547,63.850,76.630,-117.930
17,50161.812000,242.027,-15.530,17.860,477.803,-265.708,78.709,138.850,51.630,-105.930
18,50161.850000,246.020,-7.515,6.946,478.742,-268.400,83.553,161.850,48.630,-64.930
19,50161.893000,256.998,-5.511,0.992,478.848,-260.887,81.795,108.850,12.630,9.070
20,50161.940000,256.998,-7.515,3.969,479.815,-260.926,79.829,82.850,-32.370,21.070
21,50161.975000,253.006,-5.511,8.930,476.886,-262.727,84.692,46.850,-36.370,39.070
22,50162.18000,252.008,-8.517,14.884,479.754,-265.549,83.634,10.850,-7.370,57.070
23,50162.53000,256.000,-8.517,15.876,478.784,-265.563,83.632,-32.150,8.630,53.070
24,50162.102000,255.002,-7.515,14.884,478.752,-267.507,81.611,-73.150,13.630,51.070
25,50162.117000,250.012,-9.519,12.899,475.866,-265.683,80.673,-128.150,-18.370,32.070
26,50162.151000,253.006,-4.509,10.915,478.748,-267.559,79.642,-154.150,-4.370,32.070
27,50162.196000,252.008,-7.515,10.915,472.930,-266.801,75.719,-181.150,-25.370,45.070
28,50162.231000,253.006,-13.526,17.860,474.755,-274.418,72.560,-159.150,-20.370,35.070
29,50162.270000,253.006,-13.526,18.853,474.739,-275.390,71.549,-124.150,-32.370,36.070
30,50162.309000,250.012,-15.530,16.868,478.647,-273.470,70.625,-125.150,-40.370,35.070
31,50162.351000,253.006,-14.528,14.884,475.670,-277.425,65.592,-85.150,-55.370,22.070
32,50162.388000,254.004,-13.526,15.876,476.696,-273.629,65.700,-77.150,-49.370,25.070
33,50162.413000,251.010,-11.523,11.907,470.744,-282.275,63.482,-78.150,-40.370,28.070
34,50162.448000,253.006,-16.532,10.915,476.635,-277.491,62.641,-79.150,-55.370,31.070
35,50162.497000,255.002,-19.538,11.907,471.742,-279.609,56.672,-77.150,-47.370,29.070
36,50162.528000,256.000,-18.536,12.899,473.642,-282.418,56.597,-50.150,-43.370,28.070
37,50162.576000,254.004,-17.534,12.899,469.777,-281.475,58.584,-19.150,-54.370,20.070
38,50162.609000,255.002,-25.550,10.915,472.768,-275.812,56.780,-0.150,-49.370,7.070
39,50162.652000,252.008,-19.538,9.922,469.815,-278.690,56.695,34.850,-46.370,18.070
40,50162.691000,253.006,-16.532,11.907,471.662,-285.256,57.499,55.850,-21.370,24.070
41,50162.714000,253.006,-18.536,12.899,475.566,-283.389,54.606,39.850,-15.370,21.070
42,50162.752000,254.004,-20.540,6.946,470.783,-278.703,55.712,45.850,-9.370,11.070
43,50162.792000,252.008,-18.536,7.938,473.658,-281.446,57.608,55.850,-1.370,17.070
44,50162.832000,252.008,-18.536,6.946,475.615,-280.447,58.623,48.850,-0.370,17.070
45,50162.873000,253.006,-19.538,10.915,471.758,-278.637,57.683,47.850,10.630,21.070
46,50162.922000,255.002,-21.542,8.930,466.814,-285.246,60.442,27.850,20.630,18.070
47,50162.951000,253.006,-19.538,7.938,467.769,-286.204,59.433,37.850,3.630,17.070
48,50162.972000,249.014,-17.534,7.938,470.724,-283.299,60.502,-4.150,4.630,16.070
49,50163.20000,255.002,-22.544,7.938,467.817,-283.288,62.465,9.850,7.630,21.070
50,50163.54000,253.006,-18.536,7.938,468.836,-279.571,59.619,22.850,0.630,19.070
51,50163.90000,251.010,-19.538,9.922,471.752,-279.477,61.594,8.850,-14.370,21.070
52,50163.134000,253.006,-20.540,6.946,465.899,-281.477,60.545,2.850,-7.370,19.070
53,50163.171000,256.998,-20.540,9.922,471.616,-288.146,55.451,5.850,-14.370,14.070
54,50163.221000,251.010,-18.536,7.938,469.687,-288.015,61.353,-4.150,-17.370,8.070
55,50163.255000,254.004,-21.542,6.946,469.766,-282.394,59.542,-12.150,-5.370,5.070
56,50163.275000,252.008,-20.540,9.922,470.730,-282.459,56.591,-13.150,-2.370,13.070
57,50163.325000,254.004,-19.538,6.946,467.852,-280.530,59.591,-22.150,-12.370,9.070
58,50163.350000,253.006,-21.542,7.938,467.769,-286.204,59.433,-22.150,-4.370,9.070
59,50163.400000,252.008,-21.542,8.930,466.836,-283.433,57.541,-33.150,1.630,9.070
60,50163.436000,254.004,-22.544,6.946,468.695,-289.080,57.387,-31.150,1.630,9.070
61,50163.470000,252.008,-20.540,7.938,469.750,-283.366,58.532,-37.150,-1.370,9.070
62,50163.510000,253.006,-23.546,9.922,467.738,-288.148,57.412,-44.150,7.630,11.070
63,50163.550000,254.004,-21.542,9.922,470.693,-285.243,58.481,-31.150,0.630,2.070
64,50163.581000,252.008,-23.546,6.946,467.757,-286.362,53.527,-40.150,-3.370,4.070
65,50163.664000,254.004,-22.544,8.930,469.638,-290.957,57.337,-24.150,1.630,-3.930
66,50163.681000,251.010,-20.540,9.922,467.679,-291.983,55.338,-6.150,-3.370,-1.930
