Sample, Time, ACCX, ACCY, ACCZ, MAGX, MAGY, MAGZ, GYRX, GYRY, GYRZ
0,37936.242000,244.162,54.028,8.517,380.117,299.629,-69.133,-26.200,-53.710,137.420
1,37936.261000,242.189,59.077,9.519,380.993,304.753,-71.943,-9.200,-97.710,148.420
2,37936.304000,242.189,59.077,9.519,385.393,297.812,-72.154,-19.200,-145.710,147.420
3,37936.345000,246.135,50.998,2.505,386.254,294.172,-78.228,-4.200,-218.710,142.420
4,37936.384000,244.162,54.028,-0.501,383.613,296.774,-78.152,-29.200,-283.710,130.420
5,37936.425000,248.108,44.939,-0.501,382.713,294.001,-84.202,-99.200,-330.710,107.420
6,37936.465000,254.027,41.909,0.501,382.695,292.096,-90.222,-37.200,-389.710,95.420
7,37936.485000,254.027,40.899,-1.503,380.910,288.425,-97.298,44.800,-401.710,48.420
8,37936.525000,256.000,37.870,-30.560,376.483,284.753,-104.382,89.800,-496.710,35.420
9,37936.565000,253.040,43.929,-50.599,376.447,281.811,-116.394,78.800,-455.710,17.420
10,37936.605000,240.216,50.998,-50.599,372.908,287.687,-123.165,180.800,-297.710,24.420
11,37936.646000,233.310,42.919,-91.679,369.362,284.883,-130.219,306.800,-248.710,-44.580
12,37936.680000,233.310,59.077,-69.636,371.080,286.170,-146.059,400.800,-302.710,-65.580
13,37936.720000,230.351,53.018,-73.644,365.786,286.081,-149.058,189.800,-298.710,-86.580
14,37936.742000,231.337,46.959,-54.607,364.886,287.620,-155.962,75.800,-223.710,-60.580
15,37936.780000,232.324,39.890,-39.577,363.120,282.410,-156.137,-53.200,-151.710,-35.580
16,37936.820000,253.040,-6.564,9.519,361.370,286.834,-153.020,-230.200,75.290,14.420
17,37936.860000,254.027,65.136,-42.583,365.788,289.553,-148.945,-28.200,181.290,29.420
18,37936.900000,255.013,48.978,-21.542,362.268,287.003,-147.053,-89.200,185.290,-6.580
19,37936.940000,268.825,13.633,-43.585,365.804,287.986,-143.038,63.800,200.290,12.420
20,37936.960000,249.094,56.047,-40.579,364.935,284.655,-138.184,-103.200,154.290,-10.580
21,37937.0,238.243,54.028,-49.597,369.342,280.374,-136.323,-82.200,184.290,10.420
22,37937.41000,245.148,45.949,-46.591,372.892,292.698,-129.954,-76.200,217.290,32.420
23,37937.82000,250.081,41.909,-41.581,372.900,291.914,-127.000,-75.200,247.290,40.420
24,37937.122000,252.054,38.880,-40.579,375.569,293.038,-118.018,21.800,310.290,42.420
25,37937.165000,248.108,45.949,-28.556,379.982,292.257,-115.050,75.800,329.290,34.420
26,37937.205000,248.108,45.949,-16.532,379.994,290.662,-110.137,114.800,316.290,17.420
27,37937.234000,241.202,48.978,-10.521,382.644,288.145,-107.231,48.800,238.290,6.420
28,37937.266000,245.148,46.959,-8.517,386.181,290.864,-103.160,9.800,159.290,-2.580
29,37937.300000,246.135,46.959,-8.517,383.542,284.871,-100.384,-0.200,81.290,-10.580
30,37937.341000,246.135,46.959,-12.524,383.535,290.834,-104.162,-8.200,24.290,-13.580
31,37937.382000,248.108,43.929,-18.536,385.290,288.175,-106.229,5.800,23.290,-14.580
32,37937.422000,250.081,48.978,-17.534,384.426,291.787,-101.150,3.800,37.290,-10.580
33,37937.442000,247.121,46.959,-11.523,383.547,291.815,-100.158,10.800,39.290,-8.580
34,37937.482000,248.108,48.978,-10.521,386.195,291.005,-98.190,-40.200,11.290,-15.580
35,37937.522000,249.094,48.978,-13.526,385.302,290.023,-102.197,-66.200,-9.710,-12.580
36,37937.562000,247.121,46.959,-14.528,381.782,286.605,-100.333,-26.200,-17.710,-8.580
37,37937.602000,251.067,46.959,-17.534,382.663,287.474,-100.302,-35.200,-21.710,-12.580
38,37937.642000,250.081,46.959,-17.534,383.545,289.211,-100.243,-50.200,-10.710,-6.580
39,37937.682000,247.121,45.949,-15.530,384.428,290.947,-100.184,-55.200,-22.710,-10.580
40,37937.702000,248.108,47.968,-15.530,382.678,295.370,-97.067,-43.200,-33.710,-11.580
41,37937.747000,247.121,47.968,-15.530,380.914,297.077,-98.010,-62.200,-46.710,-13.580
42,37937.781000,245.148,47.968,-15.530,380.916,295.369,-97.073,-52.200,-58.710,-13.580
43,37937.821000,253.040,44.939,-22.544,380.901,290.916,-101.189,-57.200,-62.710,-15.580
44,37937.861000,250.081,46.959,-23.546,380.899,288.312,-101.274,10.800,-21.710,-11.580
45,37937.901000,245.148,49.988,-15.530,380.023,286.632,-99.345,16.800,-18.710,-11.580
46,37937.921000,249.094,47.968,-18.536,376.507,294.470,-98.109,6.800,-17.710,-13.580
47,37937.961000,246.135,47.968,-18.536,381.781,289.181,-101.243,29.800,-9.710,-6.580
48,37938.1000,249.094,48.978,-19.538,381.786,292.681,-100.136,15.800,-15.710,-4.580
49,37938.41000,249.094,48.978,-22.544,381.785,294.389,-101.074,9.800,-2.710,-5.580
50,37938.93000,247.121,48.978,-19.538,380.899,296.068,-103.008,6.800,-2.710,-5.580
51,37938.122000,245.148,49.988,-19.538,379.142,295.255,-101.054,7.800,-12.710,-2.580
52,37938.165000,250.081,46.959,-21.542,378.259,292.650,-101.141,0.800,-5.710,-1.580
53,37938.186000,246.135,49.988,-20.540,380.018,295.199,-103.039,9.800,7.290,-2.580
54,37938.227000,247.121,50.998,-16.532,380.018,295.199,-103.039,5.800,-2.710,-3.580
55,37938.266000,250.081,47.968,-18.536,380.899,296.068,-103.008,-15.200,-5.710,-1.580
56,37938.306000,246.135,48.978,-19.538,374.729,290.856,-103.197,0.800,2.290,-5.580
57,37938.342000,247.121,48.978,-17.534,379.135,293.463,-103.098,-5.200,1.290,-5.580
58,37938.382000,250.081,49.988,-16.532,380.016,292.595,-103.123,-5.200,0.290,-8.580
59,37938.422000,246.135,48.978,-18.536,379.136,290.019,-102.217,-1.200,-5.710,-7.580
60,37938.442000,246.135,48.978,-19.538,380.907,299.596,-100.907,-5.200,-6.710,-7.580
61,37938.482000,246.135,47.968,-19.538,379.138,292.623,-102.132,-18.200,-1.710,-10.580
62,37938.522000,246.135,50.998,-19.538,380.898,290.888,-102.183,-19.200,-1.710,-9.580
63,37938.566000,249.094,49.988,-19.538,378.258,294.358,-102.079,-14.200,-5.710,-8.580
64,37938.606000,248.108,50.998,-19.538,379.135,293.463,-103.098,-21.200,-1.710,-10.580
65,37938.645000,248.108,49.988,-18.536,378.260,293.518,-101.113,-37.200,-7.710,-11.580
66,37938.666000,248.108,46.959,-19.538,376.498,296.961,-102.000,-25.200,-13.710,-9.580
67,37938.707000,246.135,49.988,-19.538,377.383,298.726,-100.947,-8.200,-8.710,-7.580
68,37938.747000,248.108,49.988,-19.538,379.151,298.783,-98.953,-8.200,1.290,-6.580
69,37938.788000,245.148,49.988,-19.538,376.511,299.678,-97.940,-4.200,0.290,-10.580
70,37938.822000,249.094,52.008,-20.540,377.388,297.914,-98.987,-19.200,-5.710,-11.580
71,37938.862000,247.121,49.988,-19.538,377.377,294.358,-102.082,-2.200,4.290,-6.580
72,37938.902000,246.135,49.988,-16.532,376.498,293.517,-101.119,4.800,0.290,-7.580
73,37938.922000,247.121,52.008,-19.538,381.790,301.333,-100.848,2.800,-10.710,-8.580
