Sample, Time, ACCX, ACCY, ACCZ, MAGX, MAGY, MAGZ, GYRX, GYRY, GYRZ
0,36339.325000,224.371,96.063,-50.802,355.332,387.397,-48.897,-116.040,64.510,40.980
1,36339.364000,229.313,95.057,-38.848,354.357,385.554,-44.037,-151.040,47.510,53.980
2,36339.385000,240.185,84.998,-43.829,358.200,381.816,-39.208,-138.040,39.510,71.980
3,36339.424000,243.151,70.916,-48.809,359.210,386.636,-41.060,-109.040,40.510,77.980
4,36339.465000,237.220,82.986,-42.833,357.285,387.588,-41.043,-92.040,23.510,56.980
5,36339.505000,242.162,57.839,-35.860,362.113,386.665,-41.054,-105.040,-34.490,-26.020
6,36339.548000,245.127,63.874,-34.864,358.175,379.809,-42.195,49.960,-110.490,-89.020
7,36339.588000,235.243,77.957,-39.844,354.362,386.481,-45.977,30.960,-191.490,-129.020
8,36339.623000,238.208,69.910,-47.813,349.584,393.165,-48.781,114.960,-232.490,-156.020
9,36339.663000,207.568,96.063,-77.696,352.432,388.275,-51.826,-214.040,-3.490,94.980
10,36339.710000,221.405,101.092,-59.767,354.402,390.386,-44.910,-400.040,-145.490,-13.020
11,36339.728000,229.313,97.069,-51.798,349.609,394.287,-41.891,-169.040,-108.490,-149.020
12,36339.763000,232.278,82.986,-54.786,344.713,388.393,-43.013,25.960,-64.490,-167.020
13,36339.805000,233.266,87.010,-53.790,339.985,399.953,-44.728,53.960,-43.490,-130.020
14,36339.845000,242.162,82.986,-44.825,339.949,396.092,-43.833,-48.040,-57.490,-123.020
15,36339.897000,233.266,87.010,-48.809,338.060,401.790,-48.614,122.960,-58.490,-115.020
16,36339.925000,225.359,101.092,-53.790,337.015,394.877,-53.673,121.960,-86.490,-97.020
17,36339.965000,227.336,99.081,-57.774,334.127,396.747,-55.599,126.960,-96.490,-94.020
18,36340.4000,242.162,87.010,-45.821,331.246,399.567,-58.484,150.960,-120.490,-122.020
19,36340.24000,257.977,69.910,-51.798,330.284,401.370,-64.330,208.960,-182.490,-147.020
20,36340.70000,273.792,37.721,-62.755,325.474,405.983,-73.064,554.960,-173.490,-165.020
21,36340.104000,232.278,132.275,-77.696,329.238,396.204,-78.176,-197.040,-273.490,136.980
22,36340.142000,224.371,102.098,-65.743,332.220,403.158,-72.132,-741.040,-420.490,360.980
23,36340.183000,216.463,31.686,-65.743,343.699,388.816,-67.523,-126.040,-256.490,590.980
24,36340.223000,202.625,61.862,-50.802,353.268,379.978,-76.525,577.960,63.510,698.980
25,36340.263000,203.614,86.004,-65.743,370.583,369.511,-74.759,247.960,332.510,673.980
26,36340.305000,206.579,78.963,-70.724,384.057,358.403,-56.345,-339.040,591.510,710.980
27,36340.326000,233.266,129.257,-122.521,395.536,340.544,-35.142,-536.040,612.510,745.980
28,36340.366000,268.849,183.576,-35.860,396.555,344.566,-29.167,-455.040,91.510,-174.020
29,36340.406000,211.521,43.756,-75.704,393.601,339.641,-31.244,617.960,462.510,143.980
30,36340.446000,264.896,62.868,-13.946,400.375,339.728,-30.247,342.960,329.510,275.980
31,36340.486000,252.046,53.815,-48.809,407.083,331.250,-21.595,-364.040,240.510,266.980
32,36340.531000,239.197,46.774,-46.817,410.991,332.539,-8.810,-479.040,209.510,224.980
33,36340.566000,233.266,46.774,-43.829,411.895,324.890,-4.074,-75.040,283.510,237.980
34,36340.606000,244.139,58.845,-45.821,415.756,322.209,4.700,-127.040,346.510,279.980
35,36340.646000,252.046,29.674,-26.895,418.535,307.847,12.233,-385.040,335.510,230.980
36,36340.666000,254.023,30.680,-21.914,416.663,311.949,23.107,-175.040,360.510,162.980
37,36340.702000,247.104,38.727,-16.934,422.521,316.040,30.075,-46.040,326.510,140.980
38,36340.747000,246.116,38.727,-8.965,425.356,307.503,37.737,-78.040,272.510,119.980
39,36340.782000,248.093,36.715,-4.981,420.495,303.702,43.526,-88.040,159.510,82.980
40,36340.822000,247.104,28.668,7.969,429.246,307.735,46.576,-22.040,54.510,56.980
41,36340.867000,248.093,27.662,-3.984,422.441,304.713,44.533,71.960,-80.490,2.980
42,36340.902000,249.081,33.697,-3.984,425.394,311.386,37.823,44.960,-140.490,-35.020
43,36340.942000,252.046,41.745,-18.926,426.341,310.317,32.898,121.960,-152.490,-36.020
44,36340.973000,249.081,43.756,-24.903,425.338,307.330,29.888,129.960,-134.490,-24.020
45,36341.8000,254.023,38.727,-17.930,420.509,309.117,25.014,106.960,-108.490,-10.020
46,36341.45000,254.023,40.739,-24.903,427.305,312.052,23.132,136.960,-68.490,2.980
47,36341.86000,249.081,45.768,-30.879,422.491,314.875,21.223,58.960,-42.490,12.980
48,36341.125000,251.058,33.697,-21.914,429.258,314.013,23.180,33.960,-28.490,13.980
49,36341.164000,250.069,38.727,-22.911,428.275,313.853,16.309,103.960,-33.490,6.980
50,36341.202000,247.104,40.739,-26.895,422.456,311.897,18.215,58.960,-55.490,10.980
51,36341.242000,252.046,37.721,-26.895,424.382,311.830,14.295,55.960,-53.490,14.980
52,36341.262000,250.069,47.780,-32.872,425.326,309.855,12.292,68.960,-10.490,24.980
53,36341.307000,250.069,43.756,-30.879,428.200,306.086,16.137,48.960,22.510,49.980
54,36341.342000,252.046,36.715,-24.903,427.254,308.924,13.256,47.960,46.510,62.980
55,36341.392000,252.046,37.721,-25.899,428.158,302.159,14.088,56.960,63.510,69.980
56,36341.422000,248.093,37.721,-24.903,430.104,303.170,15.095,67.960,86.510,82.980
57,36341.467000,249.081,31.686,-22.911,431.121,308.056,16.187,64.960,93.510,85.980
58,36341.507000,252.046,35.709,-24.903,432.055,304.225,18.065,90.960,100.510,83.980
59,36341.547000,249.081,37.721,-24.903,432.957,297.438,17.916,56.960,111.510,93.980
60,36341.587000,251.058,30.680,-16.934,432.956,296.554,21.819,34.960,98.510,94.980
61,36341.607000,248.093,32.692,-18.926,431.937,291.647,19.747,18.960,74.510,94.980
62,36341.647000,250.069,27.662,-12.949,434.898,297.522,20.864,34.960,52.510,107.980
63,36341.686000,250.069,34.703,-18.926,435.835,294.597,19.820,110.960,62.510,140.980
64,36341.726000,251.058,29.674,-16.934,439.620,285.897,19.635,138.960,76.510,176.980
65,36341.767000,256.000,20.621,-16.934,441.520,282.054,20.535,169.960,102.510,186.980
66,36341.803000,256.000,20.621,-11.953,442.513,284.954,19.621,71.960,98.510,168.980
67,36341.843000,253.035,15.591,-7.969,440.552,282.044,20.532,139.960,63.510,140.980
68,36341.883000,253.035,12.574,-12.949,446.354,281.195,23.468,13.960,36.510,115.980
69,36341.905000,251.058,12.574,-9.961,443.402,276.291,22.372,27.960,31.510,79.980
70,36341.943000,255.012,13.580,-12.949,449.151,271.407,18.353,51.960,-4.490,63.980
71,36341.983000,253.035,9.556,-12.949,442.338,266.551,21.173,-31.040,-14.490,38.980
72,36342.28000,252.046,14.585,-11.953,450.165,275.386,22.366,-51.040,-35.490,15.980
73,36342.63000,254.023,10.562,-12.949,450.172,276.335,21.407,-9.040,-42.490,-3.020
74,36342.103000,253.035,15.591,-13.946,450.160,275.343,20.404,-16.040,-42.490,-7.020
75,36342.143000,252.046,7.544,-3.984,450.099,269.474,18.312,19.960,-69.490,-26.020
76,36342.183000,256.000,14.585,-18.926,446.289,275.283,19.414,13.960,-81.490,-66.020
77,36342.203000,254.023,16.597,-17.930,445.371,281.035,16.598,-13.040,-65.490,-86.020
78,36342.243000,248.093,15.591,-9.961,448.269,281.020,14.642,-8.040,-82.490,-98.020
79,36342.283000,253.035,11.568,-12.949,444.352,277.012,10.622,11.960,-116.490,-122.020
80,36342.325000,252.046,16.597,-17.930,444.482,290.583,9.943,-27.040,-124.490,-176.020
81,36342.366000,256.000,26.656,-21.914,443.465,285.697,8.852,-93.040,-122.490,-171.020
82,36342.406000,250.069,30.680,-26.895,436.773,294.326,7.068,-105.040,-86.490,-154.020
83,36342.446000,253.035,29.674,-25.899,436.771,293.420,9.990,-138.040,-37.490,-117.020
84,36342.486000,253.035,32.692,-25.899,433.908,297.297,11.050,-104.040,-8.490,-104.020
85,36342.506000,249.081,28.668,-19.922,434.845,294.372,10.007,-82.040,-3.490,-90.020
86,36342.546000,251.058,30.680,-18.926,431.020,299.167,9.125,-52.040,-28.490,-81.020
87,36342.586000,250.069,30.680,-22.911,429.041,294.315,9.993,-69.040,-60.490,-79.020
88,36342.626000,252.046,32.692,-20.918,431.034,300.181,11.108,-35.040,-68.490,-71.020
89,36342.667000,251.058,35.709,-26.895,432.023,302.154,12.135,-38.040,-61.490,-48.020
90,36342.707000,248.093,37.721,-29.883,429.079,299.083,6.177,-26.040,-38.490,-27.020
91,36342.747000,249.081,36.715,-27.891,427.151,299.129,9.116,-13.040,-18.490,1.980
92,36342.787000,249.081,37.721,-25.899,430.095,303.084,11.171,-0.040,-7.490,19.980
93,36342.827000,247.104,36.715,-24.903,427.165,301.028,7.196,-5.040,-19.490,34.980
94,36342.847000,251.058,31.686,-25.899,428.059,293.292,8.007,7.960,-23.490,42.980
95,36342.886000,248.093,35.709,-29.883,429.072,298.134,7.136,-13.040,-7.490,50.980
96,36342.927000,252.046,30.680,-25.899,431.981,299.112,6.183,12.960,11.510,66.980
97,36342.966000,249.081,30.680,-24.903,429.985,293.225,4.087,40.960,22.510,69.980
98,36343.6000,249.081,32.692,-26.895,430.952,292.349,7.992,63.960,22.510,87.980
99,36343.46000,251.058,29.674,-22.911,434.791,289.453,6.956,30.960,24.510,99.980
100,36343.84000,251.058,32.692,-26.895,437.691,289.460,5.981,50.960,36.510,106.980
101,36343.124000,251.058,21.627,-24.903,437.668,287.475,3.976,76.960,46.510,112.980
102,36343.144000,250.069,21.627,-26.895,436.686,285.567,5.893,78.960,61.510,108.980
