Sample, Time, ACCX, ACCY, ACCZ, MAGX, MAGY, MAGZ, GYRX, GYRY, GYRZ
0,51047.670000,244.207,42.165,47.104,451.851,-144.872,274.846,219.220,-301.600,64.940
1,51047.713000,244.207,42.165,44.032,450.103,-133.962,272.092,195.220,-258.600,55.940
2,51047.752000,251.086,42.165,44.032,454.821,-134.835,271.086,153.220,-215.600,63.940
3,51047.787000,248.138,47.184,48.128,453.869,-134.906,268.099,103.220,-159.600,55.940
4,51047.836000,246.173,45.176,49.152,449.124,-135.905,267.076,102.220,-119.600,56.940
5,51047.849000,246.173,42.165,44.032,456.682,-136.721,267.070,13.220,-51.600,42.940
6,51047.887000,244.207,43.169,45.056,454.772,-137.720,264.062,21.220,-47.600,41.940
7,51047.938000,244.207,39.153,47.104,455.645,-143.185,264.941,22.220,1.400,23.940
8,51047.972000,246.173,38.149,50.176,454.748,-139.533,265.018,12.220,9.400,27.940
9,51048.16000,244.207,42.165,51.200,454.698,-143.198,264.940,-8.780,-4.600,15.940
10,51048.51000,242.242,39.153,49.152,452.866,-138.661,264.039,-0.780,6.400,-0.060
11,51048.97000,244.207,39.153,45.056,454.773,-137.701,265.057,-25.780,8.400,0.940
12,51048.106000,244.207,41.161,50.176,454.766,-138.558,268.022,-47.780,23.400,-2.060
13,51048.152000,244.207,39.153,51.200,451.847,-144.151,264.915,-57.780,20.400,-9.060
14,51048.198000,244.207,39.153,51.200,453.768,-142.255,266.948,-85.780,23.400,-5.060
15,51048.228000,242.242,39.153,53.248,454.673,-145.030,264.901,-87.780,36.400,-1.060
16,51048.276000,242.242,39.153,53.248,456.610,-142.178,268.943,-71.780,29.400,-4.060
17,51048.309000,244.207,39.153,53.248,452.832,-141.371,265.970,-77.780,27.400,-7.060
18,51048.328000,241.259,36.141,53.248,451.813,-146.861,266.847,-219.780,17.400,-37.060
19,51048.369000,244.207,40.157,54.272,452.756,-146.887,264.858,-182.780,43.400,-51.060
20,51048.410000,240.276,39.153,59.392,455.523,-152.307,266.736,-149.780,53.400,-33.060
21,51048.448000,240.276,41.161,62.464,451.799,-147.796,265.832,-87.780,-13.600,5.940
22,51048.494000,241.259,39.153,54.272,451.822,-145.984,264.876,-81.780,-30.600,7.940
23,51048.529000,241.259,39.153,56.320,456.548,-145.980,261.899,-55.780,-1.600,-2.060
24,51048.568000,244.207,39.153,58.368,451.754,-150.623,261.793,-30.780,-10.600,-10.060
25,51048.589000,243.225,39.153,56.320,455.558,-148.819,257.859,-9.780,-29.600,-3.060
26,51048.632000,242.242,39.153,57.344,452.652,-154.255,262.712,-13.780,-11.600,-6.060
27,51048.673000,242.242,39.153,57.344,449.782,-156.203,258.688,-0.780,-6.600,-7.060
28,51048.710000,243.225,41.161,54.272,453.706,-146.056,259.904,27.220,-8.600,-4.060
29,51048.752000,242.242,38.149,54.272,455.472,-155.212,258.717,9.220,11.400,-4.060
30,51048.806000,244.207,39.153,56.320,453.706,-146.056,259.904,-5.780,19.400,-3.060
31,51048.813000,242.242,40.157,55.296,455.563,-148.760,260.844,14.220,15.400,0.940
32,51048.848000,242.242,41.161,56.320,451.822,-145.984,264.876,10.220,23.400,-1.060
33,51048.892000,243.225,40.157,58.368,451.768,-149.687,262.808,17.220,8.400,1.940
34,51048.929000,242.242,39.153,56.320,450.786,-152.428,263.743,26.220,12.400,4.940
35,51048.971000,242.242,41.161,57.344,450.763,-154.241,264.699,17.220,17.400,7.940
36,51049.8000,243.225,40.157,55.296,450.854,-147.789,266.826,21.220,20.400,-3.060
37,51049.51000,241.259,38.149,57.344,454.562,-153.256,265.720,-13.780,34.400,4.940
38,51049.91000,245.190,41.161,59.392,451.799,-147.796,265.832,-40.780,33.400,-0.060
39,51049.117000,238.311,40.157,61.440,449.884,-149.615,267.780,-30.780,40.400,3.940
40,51049.149000,242.242,41.161,59.392,449.895,-148.718,266.804,-46.780,26.400,6.940
41,51049.188000,242.242,39.153,62.464,446.967,-155.188,265.668,-74.780,-3.600,-16.060
42,51049.230000,238.311,43.169,55.296,451.795,-147.835,263.842,-69.780,-29.600,-60.060
43,51049.274000,242.242,39.153,55.296,450.866,-146.873,266.845,-95.780,1.400,-44.060
44,51049.290000,241.259,40.157,58.368,450.790,-152.389,265.733,-91.780,-20.600,-47.060
45,51049.332000,239.294,41.161,57.344,454.659,-145.966,263.886,-123.780,12.400,-44.060
46,51049.368000,240.276,41.161,62.464,454.545,-154.230,262.715,-121.780,39.400,-40.060
47,51049.421000,241.259,40.157,64.512,454.611,-149.611,264.803,-115.780,32.400,-29.060
48,51049.447000,240.276,40.157,61.440,452.715,-149.675,262.810,-143.780,47.400,-31.060
49,51049.497000,242.242,42.165,64.512,452.593,-158.797,264.605,-162.780,61.400,-28.060
50,51049.529000,242.242,41.161,61.440,448.908,-151.518,264.754,-142.780,57.400,-18.060
51,51049.553000,237.328,41.161,64.512,452.645,-155.113,265.678,-118.780,59.400,-14.060
52,51049.593000,243.225,40.157,63.488,448.831,-157.034,263.642,-147.780,80.400,-16.060
53,51049.632000,241.259,41.161,65.536,446.892,-160.685,265.551,-129.780,78.400,-24.060
54,51049.669000,241.259,36.141,66.560,447.926,-154.259,265.689,-133.780,69.400,-18.060
55,51049.711000,239.294,42.165,66.560,445.033,-158.000,263.616,-130.780,83.400,-38.060
56,51049.749000,238.311,39.153,69.632,444.008,-164.328,268.453,-86.780,99.400,-35.060
57,51049.771000,237.328,39.153,69.632,444.024,-163.373,270.462,-89.780,102.400,-40.060
58,51049.812000,237.328,39.153,75.776,443.068,-164.263,272.431,-46.780,89.400,-38.060
59,51049.849000,237.328,41.161,70.656,442.178,-159.772,268.547,-58.780,86.400,-43.060
60,51049.889000,238.311,38.149,78.848,443.195,-155.082,273.621,-63.780,107.400,-25.060
61,51049.929000,237.328,41.161,79.872,440.220,-165.177,274.397,-32.780,45.400,-26.060
62,51049.973000,235.363,40.157,77.824,440.322,-157.829,275.548,-20.780,24.400,-29.060
63,51050.13000,237.328,42.165,77.824,440.236,-164.222,276.406,-11.780,34.400,-19.060
64,51050.29000,236.345,43.169,79.872,441.284,-156.861,277.559,12.220,-0.600,4.940
65,51050.71000,240.276,40.157,75.776,438.354,-163.350,275.428,3.220,11.400,2.940
66,51050.113000,237.328,42.165,77.824,441.267,-157.836,274.555,6.220,15.400,7.940
67,51050.151000,236.345,42.165,75.776,438.397,-160.543,278.471,28.220,-5.600,11.940
68,51050.192000,236.345,41.161,76.800,444.096,-158.675,276.530,15.220,8.400,8.940
69,51050.232000,238.311,40.157,79.872,441.273,-157.758,278.535,9.220,10.400,16.940
70,51050.251000,234.380,40.157,76.800,438.383,-161.479,277.457,26.220,-11.600,18.940
71,51050.290000,237.328,39.153,76.800,437.399,-164.240,277.397,21.220,9.400,24.940
72,51050.334000,237.328,43.169,80.896,440.141,-171.493,279.236,37.220,-25.600,33.940
73,51050.393000,236.345,40.157,78.848,442.209,-158.642,279.512,46.220,-39.600,34.940
74,51050.410000,236.345,41.161,77.824,437.463,-159.640,278.489,24.220,-23.600,36.940
75,51050.457000,237.328,40.157,76.800,443.077,-164.165,277.407,20.220,-31.600,43.940
76,51050.493000,236.345,40.157,76.800,439.365,-158.738,276.522,36.220,-36.600,28.940
77,51050.511000,237.328,38.149,74.752,437.472,-158.763,276.519,27.220,-16.600,31.940
78,51050.548000,237.328,38.149,74.752,438.370,-162.395,277.437,21.220,-10.600,24.940
79,51050.592000,236.345,38.149,69.632,438.409,-159.627,278.491,37.220,0.400,20.940
80,51050.633000,238.311,39.153,73.728,440.308,-158.764,274.533,21.220,10.400,26.940
81,51050.682000,236.345,39.153,76.800,441.159,-166.022,277.364,33.220,-7.600,25.940
82,51050.712000,238.311,37.145,76.800,440.339,-156.854,278.553,49.220,-25.600,20.940
83,51050.729000,238.311,38.149,76.800,442.107,-165.990,278.361,27.220,-23.600,17.940
84,51050.769000,235.363,38.149,74.752,440.199,-166.970,276.348,19.220,-31.600,13.940
85,51050.813000,237.328,37.145,74.752,440.274,-161.474,276.465,12.220,-21.600,4.940
86,51050.852000,237.328,38.149,74.752,438.392,-160.602,275.486,-1.780,-20.600,-1.060
87,51050.893000,238.311,39.153,71.680,442.102,-166.049,275.376,-0.780,-15.600,-11.060
88,51050.930000,239.294,38.149,70.656,439.329,-161.467,277.458,-5.780,18.400,-13.060
89,51050.973000,239.294,41.161,72.704,439.291,-164.215,277.400,-35.780,-1.600,-19.060
90,51050.998000,238.311,39.153,72.704,442.041,-170.610,276.273,-8.780,-14.600,-11.060
91,51051.39000,238.311,39.153,72.704,440.297,-159.661,275.509,-10.780,-22.600,-7.060
92,51051.72000,238.311,39.153,75.776,442.113,-165.152,274.400,3.220,-42.600,-4.060
93,51051.110000,237.328,38.149,72.704,442.161,-161.507,273.483,9.220,-42.600,3.940
94,51051.150000,239.294,41.161,72.704,442.194,-158.817,270.557,4.220,-33.600,-0.060
95,51051.194000,238.311,39.153,70.656,444.075,-159.689,271.535,-1.780,-31.600,-7.060
96,51051.210000,238.311,39.153,70.656,441.210,-161.578,270.496,4.220,-20.600,-8.060
97,51051.253000,241.259,38.149,70.656,446.891,-161.464,272.496,6.220,1.400,-8.060
98,51051.290000,238.311,40.157,72.704,441.187,-163.391,271.452,15.220,5.400,-6.060
99,51051.332000,240.276,40.157,69.632,444.100,-157.857,271.574,25.220,20.400,-0.060
100,51051.383000,238.311,40.157,73.728,440.281,-160.616,273.499,35.220,20.400,-0.060
101,51051.418000,238.311,39.153,71.680,441.202,-162.436,273.462,48.220,5.400,-0.060
102,51051.460000,237.328,42.165,71.680,442.229,-156.868,276.566,42.220,2.400,5.940
103,51051.475000,236.345,41.161,73.728,442.243,-155.932,277.581,35.220,-6.600,10.940
104,51051.514000,237.328,40.157,74.752,441.306,-155.068,275.608,27.220,8.400,14.940
105,51051.549000,238.311,40.157,72.704,443.191,-155.900,278.577,14.220,-1.600,11.940
106,51051.593000,237.328,40.157,72.704,440.340,-156.074,271.607,29.220,-10.600,9.940
107,51051.629000,239.294,39.153,70.656,440.294,-159.700,273.519,23.220,-0.600,6.940
108,51051.670000,238.311,39.153,72.704,439.416,-155.054,277.595,18.220,-1.600,7.940
109,51051.692000,239.294,38.149,70.656,444.020,-164.192,275.418,22.220,-11.600,9.940
110,51051.738000,238.311,42.165,69.632,445.093,-154.998,276.610,8.220,1.400,1.940
111,51051.773000,238.311,39.153,72.704,445.078,-155.934,275.595,3.220,-9.600,-3.060
112,51051.819000,238.311,39.153,71.680,444.079,-159.650,273.526,6.220,1.400,-16.060
