Sample, Time, ACCX, ACCY, ACCZ, MAGX, MAGY, MAGZ, GYRX, GYRY, GYRZ
0,36844.879000,239.033,-29.558,19.845,478.379,-289.232,46.580,103.850,-70.370,-50.930
1,36844.919000,253.006,-36.571,20.837,475.597,-280.683,49.764,91.850,-65.370,-54.930
2,36844.939000,266.979,-35.569,26.791,482.401,-279.694,47.835,145.850,3.630,-16.930
3,36844.979000,271.969,-37.573,28.775,482.421,-278.670,50.815,215.850,104.630,22.070
4,36845.19000,248.016,-30.560,28.775,479.395,-287.090,55.494,235.850,138.630,50.070
5,36845.59000,236.039,-22.544,36.713,477.466,-286.959,61.396,161.850,38.630,65.070
6,36845.99000,240.031,-22.544,35.721,476.493,-287.000,60.409,172.850,-45.370,18.070
7,36845.139000,251.010,-24.548,29.767,483.296,-286.798,64.361,251.850,-68.370,-27.930
8,36845.185000,256.998,-25.550,27.783,476.561,-283.059,66.421,165.850,-45.370,-23.930
9,36845.219000,256.998,-23.546,22.822,479.447,-284.883,67.358,97.850,-39.370,-42.930
10,36845.239000,251.010,-19.538,26.791,477.631,-276.373,68.576,118.850,31.630,-5.930
11,36845.284000,257.996,-13.526,29.767,482.481,-277.118,73.481,83.850,73.630,17.070
12,36845.319000,242.027,-16.532,31.752,480.512,-279.037,73.424,-5.150,61.630,-31.930
13,36845.359000,241.029,-18.536,30.760,487.348,-276.104,73.517,-18.150,6.630,-59.930
14,36845.399000,255.002,-19.538,30.760,485.391,-277.104,72.503,-19.150,6.630,-42.930
15,36845.439000,249.014,-15.530,34.729,485.448,-273.295,73.592,-106.150,12.630,-56.930
16,36845.478000,247.018,-15.530,36.713,485.456,-272.428,70.666,-138.150,10.630,-55.930
17,36845.519000,252.008,-13.526,36.713,485.475,-270.642,66.781,-145.150,-19.370,-59.930
18,36845.539000,253.006,-10.521,37.705,488.261,-279.138,65.566,-193.150,-45.370,-90.930
19,36845.580000,260.990,0.501,37.705,485.434,-272.718,59.838,-250.150,-59.370,-148.930
20,36845.618000,255.002,-2.505,39.690,493.342,-262.311,56.206,-249.150,-23.370,-284.930
21,36845.658000,257.996,-5.511,40.682,495.244,-264.333,50.252,-263.150,-19.370,-341.930
22,36845.698000,244.023,-24.548,39.690,503.199,-251.010,49.652,-202.150,10.630,-261.930
23,36845.746000,217.076,-25.550,26.791,504.170,-250.235,42.790,-205.150,-194.370,22.070
24,36845.781000,265.980,-17.534,9.922,503.090,-256.265,29.833,-283.150,-473.370,-15.930
25,36845.816000,280.951,10.521,-41.674,506.061,-250.866,18.185,-519.150,-146.370,-140.930
26,36845.836000,283.945,35.569,7.938,506.088,-248.213,11.374,-453.150,-258.370,-159.930
27,36845.876000,293.926,4.509,11.907,506.137,-244.510,8.526,-333.150,273.630,-230.930
28,36845.920000,218.074,-18.536,52.589,508.175,-238.624,15.579,-195.150,316.630,-231.930
29,36845.960000,218.074,-40.579,62.512,514.924,-242.179,20.409,-16.150,204.630,-79.930
30,36846.0,225.060,-45.589,45.643,513.001,-241.969,29.264,427.850,79.630,44.070
31,36846.40000,233.045,-5.511,42.667,511.088,-240.867,36.177,474.850,32.630,141.070
32,36846.81000,260.990,12.524,43.659,513.031,-240.813,37.165,341.850,-26.370,152.070
33,36846.124000,257.996,9.519,52.589,511.114,-239.763,42.109,231.850,47.630,22.070
34,36846.139000,251.010,3.507,52.589,511.100,-241.470,48.947,325.850,21.630,-9.930
35,36846.180000,245.021,-7.515,41.674,512.034,-244.241,50.839,279.850,62.630,-61.930
36,36846.220000,243.025,4.509,41.674,511.189,-235.717,52.058,151.850,32.630,-1.930
37,36846.261000,245.021,4.509,44.651,512.115,-239.355,56.876,179.850,-47.370,-1.930
38,36846.296000,243.025,-1.503,35.721,515.064,-236.529,54.993,190.850,-84.370,-69.930
39,36846.336000,256.998,11.523,36.713,505.746,-476.829,47.309,214.850,-91.370,0.070
40,36846.376000,256.000,-3.507,25.798,516.086,-233.547,59.995,245.850,-34.370,28.070
41,36846.421000,240.031,-3.507,30.760,511.162,-238.370,58.869,274.850,-31.370,26.070
42,36846.441000,260.990,17.534,19.845,513.172,-233.614,59.005,247.850,-128.370,80.070
43,36846.481000,258.994,13.526,13.891,513.077,-240.207,59.805,215.850,-71.370,61.070
44,36846.521000,249.014,19.538,11.907,515.115,-233.561,59.993,209.850,-57.370,-1.930
45,36846.561000,252.008,24.548,13.891,513.083,-240.129,62.758,36.850,-54.370,30.070
46,36846.601000,256.000,25.550,13.891,509.236,-237.426,59.876,-79.150,23.630,107.070
47,36846.638000,242.027,10.521,17.860,507.146,-247.829,60.567,-35.150,64.630,143.070
48,36846.678000,246.020,-3.507,19.845,507.177,-245.885,62.588,3.850,-78.370,80.070
49,36846.701000,256.000,-5.511,19.845,507.204,-243.232,55.777,-86.150,-123.370,83.070
50,36846.741000,272.967,-6.513,26.791,506.124,-250.811,55.564,43.850,-48.370,32.070
51,36846.781000,266.979,-15.530,23.814,507.142,-247.881,58.598,123.850,143.630,3.070
52,36846.821000,237.037,-8.517,23.814,505.254,-244.914,64.579,156.850,174.630,50.070
53,36846.860000,235.041,-2.505,28.775,506.183,-247.737,64.502,78.850,-26.370,99.070
54,36846.898000,255.002,0.501,33.736,503.277,-247.699,67.449,97.850,53.630,78.070
55,36846.938000,256.998,-7.515,31.752,502.179,-257.038,72.106,150.850,40.630,105.070
56,36846.978000,256.998,-13.526,35.721,500.338,-250.393,74.254,172.850,63.630,54.070
57,36846.999000,256.998,-0.501,36.713,501.301,-251.246,77.183,170.850,56.630,35.070
58,36847.39000,249.014,-1.503,29.767,495.453,-253.167,79.087,88.850,46.630,28.070
59,36847.79000,245.021,-2.505,27.783,500.309,-253.072,80.082,33.850,-2.370,11.070
60,36847.119000,250.012,-7.515,24.806,496.383,-255.990,79.010,18.850,-47.370,-3.930
61,36847.159000,252.008,-15.530,21.829,498.326,-255.937,79.999,1.850,-46.370,-1.930
62,36847.199000,253.006,-13.526,20.837,495.422,-255.111,77.066,11.850,-37.370,9.070
63,36847.239000,254.004,-9.519,23.814,502.234,-254.017,79.075,61.850,-33.370,34.070
64,36847.280000,251.010,-16.532,20.837,495.414,-255.978,79.993,99.850,19.630,28.070
65,36847.320000,252.008,-11.523,23.814,499.326,-254.005,81.038,66.850,-14.370,42.070
66,36847.340000,252.008,-5.511,24.806,493.416,-259.814,78.899,75.850,-9.370,30.070
67,36847.380000,254.004,-5.511,26.791,495.457,-253.115,81.056,26.850,-6.370,35.070
68,36847.420000,252.008,-6.513,25.798,495.446,-254.034,82.014,38.850,14.630,15.070
69,36847.460000,254.004,-10.521,27.783,496.403,-254.966,81.990,6.850,-3.370,15.070
70,36847.500000,252.008,-6.513,28.775,490.484,-261.641,82.778,-7.150,27.630,8.070
71,36847.540000,252.008,-9.519,26.791,497.265,-262.491,82.765,-46.150,3.630,24.070
72,36847.580000,252.008,-11.523,25.798,492.453,-259.723,82.834,-40.150,0.630,5.070
73,36847.621000,254.004,-16.532,25.798,500.258,-256.802,81.945,-50.150,22.630,-1.930
74,36847.641000,252.008,-12.524,32.744,493.440,-258.737,83.847,-30.150,16.630,10.070
75,36847.681000,249.014,-15.530,29.767,494.432,-256.911,80.949,2.850,44.630,9.070
76,36847.721000,250.012,-16.532,28.775,489.518,-261.603,84.744,-16.150,29.630,19.070
77,36847.760000,251.010,-12.524,29.767,494.401,-259.616,85.791,27.850,5.630,10.070
78,36847.800000,254.004,-6.513,27.783,488.520,-263.508,84.690,14.850,33.630,-3.930
79,36847.840000,246.020,-1.503,26.791,495.401,-257.685,86.830,-42.150,10.630,0.070
80,36847.880000,250.012,-2.505,25.798,495.338,-261.573,82.788,-119.150,-3.370,-3.930
81,36847.921000,252.008,-3.507,25.798,493.394,-261.627,81.799,-176.150,-8.370,-10.930
82,36847.948000,254.004,-6.513,26.791,490.416,-266.370,82.646,-204.150,-3.370,-19.930
83,36847.983000,248.016,-7.515,29.767,496.222,-266.524,73.799,-271.150,-12.370,-16.930
84,36848.28000,250.012,-11.523,34.729,493.317,-265.699,70.866,-236.150,-17.370,-24.930
85,36848.63000,251.010,-12.524,36.713,493.423,-258.186,69.108,-233.150,-35.370,-7.930
86,36848.103000,253.006,-20.540,32.744,492.303,-267.814,62.937,-134.150,-39.370,-46.930
87,36848.143000,256.000,-20.540,34.729,492.413,-260.249,63.147,-166.150,-16.370,0.070
88,36848.179000,248.016,-13.526,34.729,495.299,-262.073,64.085,-58.150,-19.370,2.070
89,36848.219000,243.025,-13.526,29.767,493.270,-267.853,60.970,-36.150,-39.370,-9.930
90,36848.245000,256.000,-4.509,29.767,498.211,-261.270,57.227,-133.150,-39.370,24.070
91,36848.280000,255.002,-15.530,24.806,496.176,-267.891,58.023,-66.150,-1.370,35.070
92,36848.329000,248.016,-22.544,23.814,492.261,-269.890,55.994,-19.150,-16.370,0.070
93,36848.359000,252.008,-16.532,27.783,489.410,-266.070,59.046,-13.150,-24.370,1.070
94,36848.399000,254.004,-11.523,25.798,490.389,-265.189,56.121,29.850,-3.370,18.070
95,36848.444000,254.004,-14.528,22.822,489.477,-261.368,58.193,-3.150,5.630,10.070
96,36848.479000,249.014,-12.524,28.775,493.332,-263.204,58.149,-16.150,13.630,-1.930
97,36848.525000,250.012,-14.528,24.806,492.275,-268.944,56.020,54.850,-3.370,-3.930
98,36848.540000,251.010,-10.521,23.814,495.285,-262.257,57.195,-14.150,6.630,18.070
99,36848.580000,249.014,-12.524,24.806,491.295,-269.851,57.960,16.850,2.630,9.070
100,36848.620000,252.008,-15.530,25.798,491.405,-262.286,58.171,26.850,6.630,16.070
101,36848.660000,252.008,-12.524,26.791,492.291,-267.972,57.031,12.850,-15.370,28.070
