Sample, Time, ACCX, ACCY, ACCZ, MAGX, MAGY, MAGZ, GYRX, GYRY, GYRZ
0,45874.72000,236.039,-19.538,87.318,435.002,-287.424,207.869,-83.150,8.630,-27.930
1,45874.76000,234.043,-21.542,89.302,433.144,-281.778,208.023,-66.150,13.630,-15.930
2,45874.115000,232.047,-23.546,88.310,436.953,-286.504,205.931,-42.150,10.630,-8.930
3,45874.152000,234.043,-21.542,86.326,437.026,-281.723,208.031,-29.150,14.630,-4.930
4,45874.188000,237.037,-20.540,87.318,433.041,-288.476,204.886,10.850,16.630,8.070
5,45874.229000,236.039,-16.532,88.310,432.122,-285.522,209.884,38.850,21.630,21.070
6,45874.271000,234.043,-15.530,88.310,432.132,-284.629,207.942,45.850,17.630,19.070
7,45874.312000,232.047,-14.528,88.310,434.161,-278.848,211.057,31.850,10.630,14.070
8,45874.332000,234.043,-13.526,91.287,432.083,-288.332,210.790,19.850,-1.370,15.070
9,45874.372000,231.049,-12.524,90.295,434.122,-281.659,211.962,5.850,-22.370,4.070
10,45874.413000,234.043,-15.530,93.271,434.022,-288.331,209.809,-10.150,-16.370,-6.930
11,45874.455000,238.035,-8.517,92.279,435.087,-281.724,209.011,-16.150,-8.370,-8.930
12,45874.495000,232.047,-10.521,92.279,434.075,-284.575,208.930,-14.150,-21.370,-1.930
13,45874.532000,226.058,-12.524,93.271,433.132,-282.697,208.981,-19.150,-33.370,-19.930
14,45874.570000,229.053,-12.524,90.295,431.159,-284.669,206.955,28.850,-49.370,-33.930
15,45874.610000,229.053,-3.507,89.302,435.097,-280.831,207.069,44.850,-88.370,-22.930
16,45874.630000,230.051,-2.505,86.326,436.073,-279.977,203.160,26.850,-80.370,8.070
17,45874.681000,231.049,-3.507,81.364,441.903,-279.816,206.125,68.850,-99.370,34.070
18,45874.709000,246.020,16.532,78.388,437.946,-284.678,203.032,-6.150,-124.370,52.070
19,45874.751000,240.031,15.530,75.411,437.006,-281.986,198.187,-67.150,-142.370,53.070
20,45874.790000,234.043,-4.509,84.341,436.966,-284.036,192.229,-117.150,-166.370,-61.930
21,45874.832000,240.031,1.503,93.271,441.910,-277.426,189.470,-146.150,-183.370,-196.930
22,45874.872000,240.031,-5.511,95.256,445.783,-277.503,184.556,-215.150,-30.370,-316.930
23,45874.912000,251.010,-15.530,95.256,448.798,-269.976,181.820,-279.150,137.630,-343.930
24,45874.932000,262.986,-17.534,81.364,450.699,-272.785,181.745,-289.150,150.630,-210.930
25,45874.972000,249.014,-32.564,57.550,448.869,-265.221,182.936,-273.150,162.630,-68.930
26,45875.12000,228.055,-57.613,44.651,451.706,-269.987,179.857,-225.150,53.630,-88.930
27,45875.61000,220.070,-71.640,58.543,450.773,-267.217,177.966,-78.150,-19.370,-153.930
28,45875.109000,239.033,-63.624,77.395,456.550,-270.050,174.946,6.850,-56.370,-109.930
29,45875.131000,258.994,-18.536,98.233,455.667,-264.311,178.055,65.850,-30.370,37.070
30,45875.174000,256.998,-7.515,99.225,454.679,-265.323,176.058,15.850,24.630,167.070
31,45875.220000,239.033,-19.538,95.256,450.716,-271.025,176.876,32.850,23.630,173.070
32,45875.242000,207.096,-14.528,96.248,449.726,-272.825,180.759,82.850,-20.370,130.070
33,45875.273000,202.105,-17.534,94.264,445.800,-275.743,179.687,112.850,-45.370,117.070
34,45875.309000,211.088,-3.507,81.364,447.759,-274.718,181.686,100.850,-107.370,126.070
35,45875.353000,254.004,-13.526,80.372,446.747,-277.568,181.605,136.850,-89.370,68.070
36,45875.408000,290.932,10.521,89.302,446.804,-273.759,182.695,108.850,-6.370,2.070
37,45875.432000,270.971,14.528,83.349,443.729,-285.122,183.357,78.850,112.630,62.070
38,45875.473000,236.039,2.505,83.349,446.861,-270.712,190.649,77.850,193.630,33.070
39,45875.521000,201.107,12.524,82.357,442.818,-282.062,192.293,32.850,129.630,13.070
40,45875.533000,207.096,3.507,86.326,443.905,-274.404,195.459,21.850,60.630,2.070
41,45875.573000,227.057,-3.507,88.310,444.789,-280.117,193.335,19.850,-5.370,-10.930
42,45875.618000,216.078,-0.501,79.380,448.699,-278.170,193.395,17.850,-115.370,-28.930
43,45875.654000,212.086,-2.505,81.364,445.854,-273.510,192.536,30.850,-206.370,-87.930
44,45875.694000,197.115,-1.503,84.341,450.781,-267.111,181.903,55.850,-377.370,-87.930
45,45875.741000,207.096,-9.519,83.349,454.589,-271.102,171.962,81.850,-533.370,-86.930
