Sample, Time, ACCX, ACCY, ACCZ, MAGX, MAGY, MAGZ, GYRX, GYRY, GYRZ
0,48119.169000,243.151,60.857,-48.809,393.140,315.844,-142.588,-4.040,-2.490,0.980
1,48119.188000,241.174,59.851,-48.809,395.103,318.776,-142.518,-16.040,-3.490,1.980
2,48119.220000,242.162,58.845,-48.809,396.030,314.880,-143.584,-17.040,-1.490,0.980
3,48119.276000,240.185,59.851,-49.805,393.097,311.033,-140.733,-12.040,-3.490,2.980
4,48119.304000,240.185,60.857,-48.809,395.143,322.681,-141.451,-6.040,-6.490,-1.020
5,48119.342000,240.185,59.851,-46.817,397.080,323.606,-144.368,-4.040,-5.490,-0.020
6,48119.382000,241.174,60.857,-51.798,394.159,320.751,-140.515,-11.040,-7.490,-1.020
7,48119.422000,240.185,58.845,-47.813,395.117,319.790,-140.535,-7.040,-11.490,-3.020
8,48119.462000,241.174,60.857,-47.813,396.025,313.952,-141.643,-1.040,-9.490,-1.020
9,48119.504000,243.151,58.845,-47.813,392.231,321.681,-141.479,-10.040,-8.490,-2.020
10,48119.524000,242.162,60.857,-48.809,397.991,316.905,-140.593,-2.040,-8.490,-0.020
11,48119.564000,240.185,60.857,-47.813,393.206,322.640,-142.437,-6.040,-5.490,0.980
12,48119.604000,242.162,61.862,-48.809,392.210,319.718,-142.504,-4.040,-2.490,-0.020
13,48119.644000,243.151,60.857,-47.813,397.011,315.019,-137.695,-2.040,1.510,-0.020
14,48119.684000,240.185,62.868,-47.813,393.163,317.829,-140.582,-8.040,-4.490,-0.020
15,48119.725000,242.162,60.857,-46.817,396.096,321.676,-143.433,-1.040,-11.490,-1.020
16,48119.764000,242.162,58.845,-49.805,395.171,325.593,-141.386,12.960,-6.490,-3.020
17,48119.804000,242.162,61.862,-49.805,396.998,314.889,-143.581,-23.040,-6.490,1.980
18,48119.844000,240.185,59.851,-46.817,395.124,320.739,-141.494,0.960,1.510,-0.020
19,48119.861000,242.162,60.857,-45.821,391.209,315.868,-140.630,9.960,-9.490,-1.020
20,48119.904000,240.185,61.862,-50.802,390.324,324.575,-141.419,13.960,-2.490,0.980
21,48119.944000,242.162,62.868,-48.809,395.152,323.652,-141.429,-12.040,2.510,4.980
22,48119.984000,240.185,60.857,-44.825,396.054,316.865,-141.578,5.960,-8.490,0.980
23,48120.25000,243.151,60.857,-50.802,391.233,318.738,-142.527,18.960,-7.490,2.980
24,48120.65000,240.185,60.857,-45.821,390.296,321.663,-141.484,9.960,-17.490,-0.020
25,48120.115000,241.174,60.857,-49.805,396.131,324.653,-140.425,28.960,-28.490,0.980
26,48120.143000,241.174,58.845,-47.813,395.176,326.521,-143.327,6.960,-37.490,6.980
27,48120.161000,240.185,60.857,-50.802,395.124,321.624,-145.397,16.960,-32.490,8.980
28,48120.203000,242.162,60.857,-48.809,395.115,320.653,-145.419,34.960,-27.490,16.980
29,48120.243000,242.162,60.857,-52.794,392.175,316.741,-145.512,46.960,-21.490,16.980
30,48120.283000,242.162,60.857,-49.805,395.113,321.516,-150.303,28.960,-35.490,25.980
31,48120.322000,239.197,63.874,-52.794,394.124,318.658,-147.426,27.960,-36.490,37.980
32,48120.363000,241.174,60.857,-47.813,392.154,315.662,-150.439,31.960,-40.490,41.980
33,48120.401000,245.127,49.792,-34.864,396.994,316.615,-153.350,76.960,-70.490,43.980
34,48120.442000,239.197,59.851,-53.790,393.063,310.709,-155.450,129.960,-108.490,29.980
35,48120.484000,246.116,45.768,-52.794,395.924,307.696,-161.395,192.960,-82.490,31.980
36,48120.504000,240.185,63.874,-53.790,394.942,306.672,-163.381,60.960,-144.490,38.980
37,48120.544000,233.266,58.845,-55.782,392.999,306.567,-167.310,105.960,-185.490,3.980
38,48120.585000,235.243,58.845,-64.747,389.127,307.392,-172.204,38.960,-214.490,14.980
39,48120.631000,229.313,50.798,-57.774,389.102,306.271,-179.093,-12.040,-257.490,-9.020
40,48120.665000,237.220,55.827,-63.751,391.073,311.036,-183.887,83.960,-248.490,-21.020
41,48120.705000,245.127,45.768,-83.673,387.222,313.825,-187.755,121.960,-236.490,-13.020
42,48120.745000,237.220,56.833,-84.669,382.360,313.540,-198.559,177.960,-167.490,-35.020
43,48120.785000,235.243,63.874,-81.681,380.293,299.929,-198.866,78.960,-107.490,3.980
44,48120.825000,230.301,59.851,-75.704,382.309,308.643,-200.629,67.960,-108.490,11.980
45,48120.845000,240.185,52.809,-85.665,383.182,299.828,-204.746,111.960,-64.490,38.980
46,48120.885000,232.278,59.851,-84.669,381.288,304.599,-207.586,97.960,-14.490,54.980
47,48120.925000,239.197,48.786,-66.739,383.171,298.836,-205.749,88.960,0.510,77.980
48,48120.965000,238.208,52.809,-71.720,384.070,292.912,-210.781,149.960,-22.490,85.980
49,48121.5000,234.255,43.756,-75.704,382.131,292.850,-212.748,122.960,-47.490,93.980
50,48121.43000,236.232,63.874,-68.732,386.935,289.941,-214.764,27.960,-99.490,148.980
51,48121.84000,250.069,26.656,-65.743,385.954,288.918,-216.750,20.960,-189.490,153.980
52,48121.124000,226.347,53.815,-88.654,383.984,286.806,-223.666,74.960,-229.490,94.980
53,48121.144000,227.336,44.762,-97.619,384.872,279.006,-225.798,46.960,-191.490,88.980
54,48121.184000,225.359,45.768,-92.638,384.783,271.109,-231.858,194.960,-132.490,50.980
55,48121.224000,239.197,37.721,-92.638,380.942,274.869,-235.705,146.960,-132.490,74.980
56,48121.264000,242.162,38.727,-97.619,380.947,276.681,-241.549,43.960,-104.490,80.980
57,48121.304000,233.266,45.768,-88.654,385.697,267.969,-242.713,30.960,-100.490,79.980
58,48121.345000,233.266,34.703,-95.626,382.772,265.956,-244.725,176.960,-77.490,46.980
59,48121.382000,232.278,36.715,-101.603,380.888,270.834,-242.659,-12.040,-85.490,77.980
60,48121.423000,225.359,38.727,-104.591,385.714,270.774,-247.554,-29.040,-49.490,88.980
61,48121.464000,231.290,25.650,-92.638,385.705,269.803,-247.575,-36.040,-21.490,81.980
62,48121.484000,229.313,29.674,-98.615,386.668,268.885,-245.632,15.960,-12.490,69.980
63,48121.524000,234.255,29.674,-92.638,386.595,262.024,-248.727,-13.040,-14.490,77.980
64,48121.564000,238.208,38.727,-91.642,386.645,267.784,-251.541,19.960,-38.490,40.980
65,48121.604000,226.347,30.680,-95.626,386.642,266.878,-248.619,17.960,-48.490,21.980
66,48121.645000,232.278,32.692,-104.591,387.605,266.844,-250.579,60.960,-14.490,19.980
67,48121.685000,230.301,25.650,-95.626,388.551,264.891,-251.601,21.960,-2.490,24.980
68,48121.744000,231.290,43.756,-98.615,388.516,261.029,-250.706,52.960,9.510,19.980
69,48121.763000,231.290,31.686,-97.619,388.447,254.211,-251.838,19.960,11.510,24.980
70,48121.783000,231.290,27.662,-101.603,390.458,261.997,-251.661,13.960,34.510,23.980
71,48121.822000,236.232,28.668,-90.646,388.506,260.058,-250.728,-8.040,16.510,28.980
72,48121.863000,232.278,36.715,-93.634,390.373,253.259,-251.855,21.960,5.510,4.980
73,48121.908000,232.278,29.674,-97.619,388.502,260.015,-252.690,41.960,1.510,1.980
74,48121.945000,234.255,30.680,-94.630,392.308,253.278,-251.851,15.960,6.510,6.980
75,48121.986000,233.266,29.674,-93.634,387.515,257.179,-248.832,43.960,3.510,3.980
76,48122.26000,236.232,29.674,-95.626,387.520,258.107,-250.773,-15.040,-19.490,20.980
77,48122.66000,235.243,28.668,-92.638,391.366,256.159,-252.770,25.960,-13.490,7.980
78,48122.107000,232.278,33.697,-97.619,387.485,255.129,-253.781,-13.040,-19.490,17.980
79,48122.127000,232.278,26.656,-94.630,388.483,258.073,-252.733,-12.040,-16.490,12.980
80,48122.170000,233.266,32.692,-96.623,388.433,252.312,-249.919,2.960,-15.490,14.980
81,48122.204000,233.266,28.668,-93.634,387.502,257.050,-254.719,-5.040,-15.490,16.980
82,48122.244000,231.290,34.703,-99.611,386.463,249.316,-252.932,20.960,-6.490,12.980
83,48122.284000,237.220,25.650,-92.638,387.433,250.232,-255.851,-2.040,-7.490,19.980
