Sample, Time, ACCX, ACCY, ACCZ, MAGX, MAGY, MAGZ, GYRX, GYRY, GYRZ
0,43664.599000,247.018,-15.530,58.543,453.444,-277.213,120.643,-36.150,6.630,7.070
1,43664.639000,248.016,-13.526,56.558,460.323,-271.417,121.799,-33.150,-2.370,-1.930
2,43664.679000,246.020,-12.524,56.558,457.431,-270.433,124.773,-36.150,5.630,-2.930
3,43664.699000,246.020,-12.524,57.550,461.333,-268.592,120.896,-34.150,5.630,-3.930
4,43664.739000,242.027,-14.528,55.566,460.296,-273.308,121.747,-20.150,-0.370,-8.930
5,43664.786000,246.020,-16.532,56.558,455.427,-274.349,120.726,-17.150,1.630,-13.930
6,43664.819000,248.016,-15.530,56.558,459.398,-268.541,123.845,-23.150,15.630,-21.930
7,43664.865000,245.021,-17.534,55.566,461.265,-273.320,120.764,-24.150,5.630,-20.930
8,43664.905000,244.023,-16.532,57.550,460.235,-277.169,118.688,-25.150,1.630,-18.930
9,43664.945000,244.023,-14.528,57.550,458.294,-277.197,118.684,-26.150,-20.370,-12.930
10,43664.985000,244.023,-17.534,58.543,462.237,-272.519,114.887,-14.150,-32.370,-6.930
11,43665.5000,244.023,-16.532,59.535,461.345,-267.673,119.938,9.850,-34.370,-4.930
12,43665.45000,244.023,-16.532,55.566,461.263,-273.347,119.780,24.850,-44.370,0.070
13,43665.79000,246.020,-16.532,56.558,460.427,-263.930,119.057,42.850,-37.370,2.070
14,43665.120000,247.018,-18.536,55.566,462.225,-273.438,115.845,60.850,-40.370,9.070
15,43665.160000,245.021,-17.534,56.558,462.253,-271.547,115.897,67.850,-36.370,15.070
16,43665.199000,247.018,-18.536,55.566,463.229,-271.454,118.852,94.850,-30.370,18.070
17,43665.246000,246.020,-17.534,55.566,462.329,-266.714,119.966,106.850,-20.370,22.070
18,43665.279000,248.016,-20.540,54.574,466.173,-269.469,120.880,129.850,-6.370,26.070
19,43665.299000,247.018,-18.536,51.597,464.277,-266.607,122.923,151.850,-0.370,25.070
20,43665.341000,245.021,-18.536,50.605,464.185,-273.174,124.708,149.850,-13.370,31.070
21,43665.381000,244.023,-17.534,52.589,463.314,-266.516,126.859,166.850,-11.370,32.070
22,43665.419000,243.025,-15.530,54.574,461.389,-265.571,127.865,174.850,-40.370,37.070
23,43665.459000,244.023,-16.532,55.566,458.506,-263.695,128.896,171.850,-59.370,42.070
24,43665.499000,244.023,-16.532,56.558,465.277,-265.437,130.826,182.850,-63.370,36.070
25,43665.539000,243.025,-15.530,56.558,457.567,-261.765,130.916,207.850,-62.370,34.070
26,43665.580000,247.018,-4.509,54.574,462.369,-265.426,132.789,231.850,-48.370,33.070
27,43665.600000,253.006,8.517,49.612,459.422,-268.225,135.657,193.850,35.630,13.070
28,43665.641000,263.984,14.528,46.636,465.354,-261.365,141.759,82.850,196.630,-50.930
29,43665.681000,257.996,13.526,45.643,464.410,-260.275,147.690,130.850,168.630,-41.930
30,43665.721000,246.020,9.519,41.674,459.631,-255.537,150.764,119.850,149.630,-31.930
31,43665.761000,248.016,8.517,36.713,462.492,-259.225,152.634,-51.150,57.630,-117.930
32,43665.802000,246.020,18.536,26.791,461.582,-254.616,148.826,-118.150,4.630,-136.930
33,43665.842000,237.037,24.548,33.736,460.600,-255.549,149.782,-158.150,-20.370,-7.930
34,43665.882000,245.021,8.517,39.690,463.484,-256.638,142.871,-276.150,-101.370,83.070
35,43665.912000,250.012,1.503,44.651,464.227,-271.860,138.515,-273.150,-112.370,84.070
36,43665.946000,259.992,-14.528,51.597,463.409,-260.684,132.923,-230.150,-111.370,-10.930
37,43665.986000,256.998,-7.515,50.605,464.240,-270.153,131.677,-279.150,-58.370,-46.930
38,43666.26000,245.021,-1.503,51.597,466.236,-265.581,124.922,-269.150,-49.370,-116.930
39,43666.66000,233.045,3.507,55.566,462.325,-266.766,117.998,-277.150,-38.370,-107.930
40,43666.106000,237.037,-1.503,66.481,464.373,-259.226,116.243,-362.150,-21.370,-17.930
41,43666.146000,248.016,-22.544,68.465,463.225,-270.746,110.019,-400.150,19.630,5.070
42,43666.172000,242.027,-38.575,63.504,463.315,-264.205,107.251,-417.150,76.630,-36.930
43,43666.204000,227.057,-30.560,66.481,463.239,-269.800,110.046,-359.150,129.630,-124.930
44,43666.254000,243.025,-13.526,68.465,464.181,-270.916,103.131,-292.150,74.630,-133.930
45,43666.280000,273.965,-26.552,54.574,465.219,-266.201,102.280,-250.150,18.630,-47.930
46,43666.320000,276.959,-36.571,43.659,465.242,-264.362,100.364,-179.150,109.630,35.070
47,43666.360000,254.004,-42.583,47.628,461.215,-274.740,103.020,-110.150,130.630,102.070
48,43666.400000,238.035,-43.585,55.566,458.271,-276.725,100.992,-88.150,23.630,181.070
49,43666.440000,238.035,-40.579,51.597,457.275,-278.604,101.922,-63.150,-7.370,178.070
50,43666.460000,235.041,-42.583,45.643,456.214,-284.397,97.825,-21.150,-43.370,98.070
51,43666.509000,235.041,-39.577,46.636,453.280,-286.250,100.719,21.850,-55.370,12.070
52,43666.541000,245.021,-30.560,48.620,455.298,-280.628,97.928,105.850,-110.370,-55.930
53,43666.581000,258.994,-15.530,49.612,461.065,-284.354,96.850,220.850,-96.370,-82.930
54,43666.621000,261.988,-12.524,53.581,460.234,-274.885,98.096,235.850,-117.370,27.070
55,43666.662000,253.006,-26.552,51.597,455.247,-284.358,99.791,141.850,-47.370,133.070
56,43666.702000,241.029,-32.564,58.543,460.214,-276.671,101.981,128.850,-56.370,112.070
57,43666.742000,236.039,-22.544,59.535,457.192,-284.278,101.764,195.850,-97.370,54.070
58,43666.762000,234.043,-14.528,62.512,456.334,-276.700,102.957,246.850,-64.370,11.070
59,43666.802000,237.037,-5.511,66.481,458.224,-280.402,104.824,193.850,-67.370,18.070
60,43666.842000,246.020,-8.517,59.535,458.226,-280.376,105.809,142.850,-56.370,49.070
61,43666.884000,257.996,-22.544,48.620,460.126,-283.185,105.734,178.850,0.630,26.070
62,43666.924000,256.998,-16.532,44.651,452.479,-275.625,109.866,198.850,57.630,-32.930
63,43666.972000,245.021,-5.511,46.636,459.199,-281.097,113.659,124.850,27.630,-33.930
