Sample, Time, ACCX, ACCY, ACCZ, MAGX, MAGY, MAGZ, GYRX, GYRY, GYRZ
0,39065.330000,224.553,63.247,90.112,367.727,-82.196,399.391,-73.780,-127.600,63.940
1,39065.349000,224.553,59.231,93.184,365.850,-80.506,393.456,-108.780,-107.600,68.940
2,39065.386000,226.518,53.208,104.448,367.641,-87.830,392.308,-217.780,-58.600,92.940
3,39065.426000,228.484,48.188,105.472,370.431,-91.437,393.230,-328.780,-61.600,105.940
4,39065.467000,229.466,37.145,106.496,369.455,-93.341,390.204,-432.780,-37.600,64.940
5,39065.507000,227.501,36.141,101.376,367.361,-108.043,388.894,-329.780,-80.600,-1.060
6,39065.548000,229.466,48.188,101.376,370.221,-106.213,386.948,-198.780,-49.600,-3.060
7,39065.588000,226.518,41.161,103.424,371.180,-105.284,386.969,-167.780,11.400,53.940
8,39065.608000,229.466,44.173,97.280,372.075,-108.956,385.897,-110.780,3.400,33.940
9,39065.649000,225.536,38.149,98.304,369.159,-114.509,384.780,-94.780,-9.600,30.940
10,39065.689000,229.466,33.129,99.328,369.107,-118.193,383.707,-5.780,-15.600,51.940
11,39065.738000,229.466,37.145,100.352,370.897,-125.536,381.564,28.220,-17.600,32.940
12,39065.773000,230.449,35.137,98.304,372.868,-119.976,383.675,82.220,-22.600,43.940
13,39065.807000,227.501,36.141,98.304,370.129,-112.684,383.826,153.220,-24.600,48.940
14,39065.827000,229.466,40.157,98.304,370.091,-115.432,383.767,157.220,-10.600,40.940
15,39065.867000,228.484,38.149,97.280,369.134,-116.342,384.741,119.220,-7.600,42.940
16,39065.907000,228.484,40.157,96.256,369.187,-112.638,386.809,123.220,-21.600,33.940
17,39065.947000,230.449,41.161,99.328,367.396,-105.314,387.957,82.220,-11.600,19.940
18,39065.987000,229.466,41.161,96.256,367.421,-103.482,387.996,79.220,-25.600,15.940
19,39066.26000,229.466,39.153,96.256,372.106,-107.045,389.917,72.220,-17.600,13.940
20,39066.47000,230.449,40.157,96.256,367.381,-106.270,385.948,108.220,-24.600,26.940
21,39066.88000,229.466,38.149,93.184,371.273,-98.033,383.145,133.220,-30.600,31.940
