Sample, Time, ACCX, ACCY, ACCZ, MAGX, MAGY, MAGZ, GYRX, GYRY, GYRZ
0,47373.164000,252.046,34.703,-5.977,437.015,302.805,83.748,-42.040,-0.490,14.980
1,47373.202000,249.081,34.703,-7.969,436.031,301.760,80.781,-44.040,-3.490,13.980
2,47373.217000,251.058,34.703,-8.965,435.942,292.979,78.624,-46.040,-5.490,14.980
3,47373.255000,252.046,32.692,-5.977,436.937,295.016,82.594,-45.040,-7.490,11.980
4,47373.300000,252.046,30.680,-5.977,437.959,300.829,81.745,-26.040,-7.490,2.980
5,47373.340000,252.046,33.697,-6.973,437.987,303.742,81.810,-19.040,-10.490,-1.020
6,47373.380000,251.058,32.692,-6.973,436.980,299.827,80.740,-10.040,-14.490,-0.020
7,47373.415000,251.058,32.692,-7.969,434.089,300.791,81.736,3.960,-17.490,-7.020
8,47373.455000,250.069,34.703,-5.977,433.117,300.739,79.771,8.960,-23.490,-12.020
9,47373.503000,253.035,35.709,-7.969,436.052,303.723,81.805,16.960,-27.490,-14.020
10,47373.521000,251.058,36.715,-8.965,437.036,304.768,84.772,16.960,-30.490,-15.020
11,47373.559000,249.081,32.692,-7.969,434.087,300.770,80.755,34.960,-33.490,-22.020
12,47373.600000,251.058,35.709,-7.969,435.999,299.688,74.851,42.960,-38.490,-19.020
13,47373.640000,252.046,36.715,-9.961,433.134,303.544,74.930,42.960,-39.490,-20.020
14,47373.679000,251.058,37.721,-10.957,437.957,302.577,72.958,18.960,-44.490,-27.020
15,47373.716000,252.046,35.709,-9.961,437.028,306.451,73.042,21.960,-55.490,-30.020
16,47373.761000,250.069,37.721,-11.953,435.060,303.476,71.010,1.960,-61.490,-22.020
17,47373.801000,252.046,39.733,-12.949,431.245,309.242,70.150,1.960,-57.490,-20.020
18,47373.828000,251.058,35.709,-14.942,434.067,301.460,68.022,3.960,-52.490,-13.020
19,47373.870000,252.046,38.727,-13.946,432.226,311.150,68.233,15.960,-39.490,-12.020
20,47373.902000,249.081,39.733,-15.938,434.152,310.198,68.216,14.960,-32.490,-9.020
21,47373.936000,252.046,40.739,-17.930,433.116,303.371,67.081,19.960,-19.490,-4.020
22,47373.990000,250.069,38.727,-14.942,432.154,304.289,65.138,-9.040,-6.490,2.980
23,47374.48000,250.069,40.739,-13.946,433.184,310.189,68.213,-14.040,-5.490,9.980
24,47374.70000,251.058,39.733,-18.926,434.135,308.278,69.154,-29.040,-4.490,16.980
25,47374.112000,250.069,38.727,-14.942,435.096,308.223,66.212,-35.040,-0.490,21.980
26,47374.136000,252.046,38.727,-14.942,434.124,307.285,68.151,-35.040,5.510,32.980
27,47374.156000,251.058,36.715,-11.953,431.176,302.424,69.017,-20.040,11.510,37.980
28,47374.210000,250.069,36.715,-11.953,435.082,306.324,68.132,-18.040,6.510,40.980
29,47374.238000,252.046,34.703,-13.946,435.025,300.499,68.002,-24.040,-2.490,43.980
30,47374.277000,252.046,36.715,-9.961,437.965,304.411,68.095,-7.040,-8.490,40.980
31,47374.320000,250.069,38.727,-17.930,436.042,305.384,69.093,-9.040,-5.490,51.980
32,47374.360000,252.046,32.692,-18.926,435.985,299.559,68.964,-5.040,21.510,53.980
33,47374.398000,250.069,32.692,-9.961,436.936,297.648,69.904,15.960,46.510,44.980
34,47374.438000,253.035,34.703,-7.969,439.881,301.603,71.960,56.960,36.510,40.980
35,47374.459000,250.069,28.668,-7.969,439.865,300.568,68.995,44.960,-8.490,19.980
36,47374.498000,251.058,27.662,-6.973,438.862,296.696,69.887,51.960,-51.490,-7.020
37,47374.538000,251.058,33.697,-9.961,438.854,295.747,70.847,10.960,-96.490,-29.020
38,47374.578000,251.058,33.697,-15.938,437.928,301.412,64.106,9.960,-128.490,-35.020
39,47374.619000,251.058,36.715,-19.922,435.983,300.422,64.080,13.960,-119.490,-36.020
40,47374.660000,252.046,37.721,-21.914,436.989,305.199,60.265,12.960,-93.490,-28.020
41,47374.700000,253.035,36.715,-23.907,439.896,306.155,58.331,35.960,-68.490,-15.020
42,47374.740000,252.046,37.721,-23.907,435.966,300.249,56.231,50.960,-27.490,-6.020
43,47374.761000,251.058,37.721,-22.911,435.028,302.290,61.177,51.960,-6.490,-2.020
44,47374.800000,250.069,37.721,-18.926,434.017,299.217,54.242,54.960,9.510,5.980
45,47374.840000,249.081,35.709,-19.922,438.958,309.943,54.491,46.960,15.510,7.980
46,47374.876000,252.046,36.715,-19.922,439.819,299.252,53.275,35.960,24.510,8.980
47,47374.916000,251.058,35.709,-18.926,439.829,300.222,53.296,9.960,29.510,10.980
48,47374.962000,250.069,35.709,-18.926,435.970,301.177,54.290,10.960,40.510,9.980
49,47375.2000,253.035,36.715,-17.930,437.976,308.035,56.408,12.960,55.510,12.980
50,47375.37000,250.069,35.709,-18.926,437.974,308.014,55.427,1.960,58.510,12.980
51,47375.80000,254.023,35.709,-18.926,439.889,305.206,59.291,-20.040,75.510,14.980
52,47375.103000,257.977,33.697,-3.984,438.928,305.261,62.232,-178.040,114.510,42.980
53,47375.140000,244.139,15.591,-14.942,436.941,298.576,67.964,-114.040,43.510,-7.020
54,47375.192000,262.919,51.804,-31.875,434.045,298.612,70.900,-146.040,33.510,-25.020
55,47375.251000,260.942,36.715,-19.922,433.099,300.566,71.922,-266.040,-32.490,-1.020
56,47375.265000,253.035,23.639,-6.973,435.071,303.584,75.916,-13.040,-38.490,1.980
57,47375.302000,243.151,30.680,2.988,433.094,299.639,73.863,16.960,-60.490,-34.020
58,47375.375000,250.069,35.709,3.984,433.118,303.393,68.062,19.960,-112.490,-38.020
59,47375.391000,242.162,39.733,0.996,431.172,302.381,67.055,43.960,-122.490,-31.020
60,47375.397000,249.081,33.697,-5.977,434.120,308.127,62.286,-20.040,-129.490,-29.020
61,47375.437000,247.104,39.733,-7.969,434.117,308.105,61.304,-6.040,-125.490,-30.020
62,47375.480000,249.081,38.727,-11.953,433.110,304.191,60.235,-18.040,-132.490,-15.020
63,47375.521000,246.116,37.721,-4.981,433.082,302.163,56.267,5.960,-122.490,-7.020
64,47375.561000,249.081,10.562,-12.949,434.062,304.049,53.369,180.960,-94.490,22.980
65,47375.599000,275.768,53.815,-36.856,434.093,307.868,50.512,131.960,-151.490,-29.020
66,47375.640000,250.069,37.721,-32.872,436.063,312.633,45.719,90.960,-145.490,-7.020
67,47375.681000,251.058,41.745,-35.860,434.124,313.456,39.849,158.960,-97.490,-18.020
68,47375.702000,251.058,44.762,-35.860,433.105,308.549,37.776,47.960,-63.490,-0.020
69,47375.741000,252.046,38.727,-33.868,433.115,309.520,37.798,43.960,9.510,31.980
70,47375.782000,252.046,41.745,-34.864,433.098,307.600,38.736,6.960,47.510,34.980
71,47375.817000,249.081,39.733,-31.875,433.112,308.614,40.720,-22.040,78.510,37.980
72,47375.860000,250.069,35.709,-27.891,437.975,310.667,43.718,-5.040,93.510,38.980
73,47375.900000,252.046,33.697,-20.918,437.942,306.827,45.594,-18.040,96.510,23.980
74,47375.961000,251.058,35.709,-23.907,433.102,305.874,48.504,-26.040,90.510,13.980
75,47375.979000,251.058,36.715,-22.911,435.011,303.002,49.425,-17.040,101.510,2.980
76,47376.20000,251.058,40.739,-24.903,434.139,311.838,54.523,-42.040,110.510,5.980
77,47376.41000,251.058,34.703,-17.930,435.024,303.131,55.312,-27.040,114.510,7.980
78,47376.81000,250.069,37.721,-15.938,436.039,307.995,55.422,-26.040,104.510,10.980
79,47376.121000,251.058,38.727,-16.934,435.052,305.159,59.280,-34.040,93.510,14.980
80,47376.161000,249.081,39.733,-15.938,435.099,309.129,63.291,-48.040,114.510,23.980
81,47376.207000,249.081,32.692,-7.969,436.045,306.290,66.172,-28.040,133.510,42.980
82,47376.242000,249.081,30.680,-6.973,437.028,307.335,69.139,9.960,102.510,29.980
83,47376.289000,250.069,32.692,-7.969,436.051,306.355,69.115,10.960,56.510,6.980
84,47376.324000,248.093,34.703,-6.973,435.011,298.600,69.921,-43.040,11.510,-1.020
85,47376.356000,250.069,33.697,-3.984,433.151,306.348,70.089,-55.040,-44.490,-8.020
86,47376.384000,251.058,35.709,-10.957,432.210,309.230,69.171,-21.040,-77.490,-19.020
87,47376.426000,249.081,37.721,-16.934,434.121,307.264,67.170,-7.040,-69.490,-19.020
88,47376.458000,251.058,40.739,-16.934,434.081,303.359,66.102,9.960,-50.490,-7.020
89,47376.499000,250.069,38.727,-14.942,433.116,303.371,67.081,1.960,-32.490,2.980
90,47376.546000,253.035,34.703,-11.953,430.247,307.183,65.199,15.960,-15.490,4.980
91,47376.578000,251.058,38.727,-15.938,434.138,308.299,70.135,8.960,-10.490,6.980
92,47376.626000,249.081,35.709,-10.957,436.094,312.051,63.358,-6.040,-8.490,12.980
93,47376.662000,253.035,38.727,-17.930,436.052,307.240,65.212,-18.040,6.510,21.980
94,47376.682000,252.046,39.733,-17.930,432.116,300.406,65.052,-8.040,38.510,33.980
95,47376.722000,252.046,38.727,-19.922,436.035,304.435,70.053,-19.040,84.510,52.980
96,47376.766000,254.023,38.727,-14.942,436.020,302.536,71.972,-5.040,115.510,64.980
97,47376.802000,251.058,35.709,-8.965,437.983,304.583,75.944,-31.040,125.510,69.980
98,47376.842000,250.069,32.692,-4.981,437.016,304.574,75.942,-36.040,108.510,61.980
99,47376.881000,250.069,26.656,0.996,438.896,298.789,76.798,-44.040,68.510,48.980
100,47376.922000,252.046,26.656,-0.996,437.957,300.808,80.764,-28.040,11.510,17.980
101,47376.966000,251.058,29.674,-2.988,435.073,302.721,80.800,-15.040,-21.490,2.980
102,47376.990000,252.046,30.680,-4.981,435.987,297.811,77.751,4.960,-36.490,-4.020
103,47377.23000,250.069,32.692,-6.973,438.922,300.795,79.785,8.960,-41.490,-6.020
104,47377.64000,252.046,33.697,-6.973,437.900,295.867,76.731,-3.040,-44.490,-6.020
105,47377.104000,250.069,34.703,-6.973,435.942,293.863,74.721,-5.040,-46.490,-8.020
106,47377.152000,251.058,32.692,-8.965,436.929,295.814,74.767,-16.040,-62.490,-7.020
107,47377.179000,253.035,31.686,-5.977,437.939,300.635,72.915,-18.040,-76.490,-12.020
108,47377.219000,251.058,30.680,-10.957,437.913,297.744,73.831,-8.040,-88.490,-19.020
109,47377.259000,252.046,35.709,-9.961,438.944,305.412,69.100,11.960,-89.490,-26.020
110,47377.278000,251.058,35.709,-10.957,437.880,295.673,67.901,18.960,-91.490,-22.020
111,47377.321000,249.081,35.709,-13.946,434.999,298.492,65.016,36.960,-93.490,-22.020
112,47377.361000,251.058,35.709,-13.946,436.979,303.344,64.147,27.960,-95.490,-21.020
113,47377.401000,249.081,36.715,-18.926,437.959,305.230,61.249,42.960,-86.490,-18.020
114,47377.441000,250.069,34.703,-18.926,437.933,303.224,58.262,33.960,-78.490,-14.020
115,47377.480000,252.046,38.727,-19.922,437.006,307.120,59.327,29.960,-58.490,-1.020
116,47377.520000,251.058,35.709,-18.926,435.921,296.301,53.201,34.960,-52.490,3.980
117,47377.560000,251.058,34.703,-17.930,436.994,307.012,54.422,36.960,-49.490,5.980
118,47377.580000,250.069,36.715,-20.918,434.097,307.911,52.474,22.960,-58.490,4.980
119,47377.620000,251.058,34.703,-18.926,436.006,305.924,49.492,18.960,-72.490,-0.020
120,47377.660000,250.069,35.709,-20.918,435.983,303.054,51.390,14.960,-98.490,-4.020
121,47377.707000,250.069,35.709,-19.922,435.063,308.784,47.592,21.960,-114.490,-11.020
122,47377.742000,249.081,37.721,-26.895,437.930,305.835,44.591,30.960,-122.490,-17.020
123,47377.782000,251.058,38.727,-29.883,437.949,308.661,40.731,31.960,-109.490,-12.020
124,47377.822000,251.058,37.721,-28.887,440.857,309.617,38.797,25.960,-88.490,-3.020
125,47377.865000,249.081,36.715,-28.887,437.884,302.750,36.677,28.960,-74.490,0.980
126,47377.901000,251.058,39.733,-33.868,434.031,304.632,35.730,32.960,-43.490,9.980
