Sample, Time, ACCX, ACCY, ACCZ, MAGX, MAGY, MAGZ, GYRX, GYRY, GYRZ
0,44435.840000,249.121,21.082,54.272,448.158,-203.407,233.809,24.220,-50.600,18.940
1,44435.858000,248.138,20.078,56.320,448.131,-205.259,232.775,26.220,-50.600,19.940
2,44435.898000,247.155,23.090,56.320,449.013,-209.846,231.684,72.220,-12.600,3.940
3,44435.938000,245.190,23.090,56.320,451.941,-203.376,232.821,76.220,12.400,-6.060
4,44435.982000,243.225,20.078,55.296,450.986,-204.266,234.790,39.220,38.400,-8.060
5,44436.17000,241.259,21.082,58.368,450.027,-205.195,234.769,37.220,0.400,-2.060
6,44436.57000,242.242,22.086,55.296,450.005,-206.988,236.720,36.220,-12.600,7.940
7,44436.77000,246.173,23.090,58.368,448.161,-203.368,235.800,8.220,-14.600,23.940
8,44436.121000,245.190,21.082,58.368,446.284,-202.438,237.806,4.220,-9.600,33.940
9,44436.161000,245.190,19.075,58.368,447.165,-207.045,235.720,10.220,26.400,49.940
10,44436.206000,246.173,20.078,56.320,447.101,-211.645,234.627,-11.780,56.400,55.940
11,44436.240000,245.190,18.071,56.320,441.378,-215.326,237.524,-43.780,63.400,65.940
12,44436.278000,246.173,18.071,59.392,441.476,-208.016,236.685,-63.780,102.400,60.940
13,44436.318000,248.138,17.067,56.320,439.549,-210.751,238.614,-99.780,158.400,53.940
14,44436.338000,257.965,18.071,56.320,434.704,-219.838,245.376,-230.780,305.400,36.940
15,44436.378000,253.052,22.086,58.368,433.796,-217.862,253.373,-248.780,447.400,-15.060
16,44436.418000,248.138,8.031,66.560,424.165,-230.735,257.064,-224.780,447.400,70.940
17,44436.461000,242.242,26.102,71.680,422.257,-232.475,262.992,-433.780,512.400,149.940
18,44436.505000,236.345,13.051,72.704,411.706,-243.509,267.714,-479.780,626.400,167.940
19,44436.542000,231.432,6.024,84.992,403.097,-251.632,279.464,-452.780,656.400,171.940
20,44436.560000,220.622,6.024,94.208,386.064,-252.617,287.375,-390.780,887.400,111.940
21,44436.601000,221.605,9.035,113.664,374.632,-259.823,301.130,-294.780,835.400,96.940
22,44436.640000,202.933,0.000,115.712,367.969,-263.438,308.006,-220.780,729.400,42.940
23,44436.681000,212.760,2.008,144.384,359.380,-269.788,316.810,-182.780,572.400,21.940
24,44436.727000,205.881,-9.035,149.504,348.022,-270.737,322.740,-200.780,454.400,42.940
25,44436.760000,220.622,2.008,148.480,341.331,-276.224,327.587,-66.780,334.400,9.940
26,44436.780000,220.622,2.008,137.216,337.610,-271.674,328.673,-49.780,225.400,-16.060
27,44436.821000,209.812,1.004,121.856,338.572,-270.706,330.684,-58.780,96.400,-28.060
28,44436.865000,211.777,-5.020,125.952,341.298,-278.914,330.513,-81.780,-21.600,5.940
29,44436.902000,207.846,-3.012,130.048,333.820,-272.542,333.622,27.220,34.400,8.940
30,44436.942000,212.760,-2.008,144.384,335.660,-276.221,331.557,40.220,105.400,3.940
31,44436.982000,206.864,1.004,147.456,329.067,-274.398,335.565,55.220,162.400,-7.060
32,44437.3000,204.898,7.027,146.432,329.989,-276.218,335.527,-1.780,109.400,-21.060
33,44437.40000,207.846,-2.008,140.288,326.171,-278.958,338.447,-102.780,-4.600,-19.060
34,44437.78000,207.846,-5.020,138.240,330.780,-287.258,332.310,-124.780,-31.600,-24.060
35,44437.120000,208.829,-15.059,138.240,330.007,-274.464,331.586,-138.780,-4.600,-27.060
36,44437.160000,205.881,-20.078,139.264,328.943,-282.780,328.424,-87.780,56.400,-40.060
37,44437.201000,204.898,-28.110,143.360,330.814,-284.548,330.378,-97.780,75.400,-18.060
38,44437.241000,210.795,-29.114,146.432,327.063,-281.889,328.440,-50.780,116.400,-4.060
39,44437.261000,209.812,-27.106,152.576,326.159,-279.094,331.482,-36.780,140.400,-17.060
40,44437.306000,206.864,-29.114,154.624,321.420,-280.014,334.439,11.220,127.400,-30.060
41,44437.341000,197.036,-25.098,147.456,324.275,-279.022,336.454,39.220,25.400,-12.060
42,44437.381000,194.088,-26.102,146.432,325.210,-279.906,337.431,47.220,-42.600,-3.060
43,44437.421000,201.950,-25.098,147.456,320.452,-281.820,336.389,53.220,-53.600,24.940
44,44437.485000,206.864,-32.125,149.504,322.425,-276.240,339.494,40.220,-6.600,77.940
45,44437.493000,204.898,-31.122,151.552,322.336,-282.672,338.363,71.220,22.400,107.940
46,44437.520000,205.881,-31.122,151.552,322.444,-275.246,343.494,144.220,-15.600,94.940
47,44437.561000,209.812,-22.086,151.552,322.419,-277.078,343.455,229.220,-69.600,52.940
48,44437.600000,201.950,-11.043,146.432,327.204,-273.312,345.531,260.220,-131.600,6.940
49,44437.641000,203.916,-1.004,146.432,328.221,-268.621,350.606,303.220,-129.600,-32.060
50,44437.681000,203.916,12.047,143.360,332.128,-259.449,348.818,283.220,-128.600,-24.060
51,44437.708000,205.881,23.090,144.384,337.786,-261.148,351.774,280.220,-117.600,-28.060
52,44437.742000,207.846,29.114,140.288,336.905,-256.540,353.860,284.220,-101.600,-50.060
53,44437.782000,210.795,38.149,140.288,339.874,-247.283,357.045,243.220,-78.600,-55.060
54,44437.822000,213.743,44.173,140.288,344.593,-248.137,357.034,162.220,-86.600,-41.060
55,44437.858000,212.760,40.157,141.312,346.625,-238.015,358.247,100.220,-101.600,-17.060
56,44437.900000,203.916,36.141,137.216,345.627,-241.711,357.172,58.220,-118.600,-0.060
57,44437.943000,199.985,34.133,135.168,344.710,-239.073,352.254,99.220,-193.600,9.940
58,44437.958000,205.881,34.133,131.072,352.304,-237.160,351.311,71.220,-249.600,-15.060
59,44438.2000,216.691,31.122,132.096,356.107,-235.356,347.377,12.220,-277.600,-40.060
60,44438.42000,234.380,23.090,132.096,358.874,-240.016,341.314,-19.780,-263.600,-26.060
61,44438.82000,219.639,17.067,124.928,365.502,-239.110,336.370,-64.780,-246.600,6.940
62,44438.122000,213.743,4.016,119.808,367.376,-239.300,325.427,-51.780,-274.600,97.940
63,44438.162000,220.622,0.000,111.616,370.124,-245.714,323.306,-47.780,-301.600,158.940
64,44438.182000,224.553,-2.008,108.544,370.113,-245.851,316.340,6.220,-306.600,165.940
65,44438.223000,227.501,-2.008,110.592,374.830,-246.724,315.334,101.220,-252.600,128.940
66,44438.263000,224.553,-1.004,106.496,375.784,-245.854,312.370,118.220,-226.600,92.940
67,44438.303000,228.484,-1.004,107.520,376.708,-246.875,306.382,79.220,-227.600,61.940
68,44438.343000,229.466,1.004,105.472,382.325,-251.361,307.289,50.220,-270.600,53.940
69,44438.383000,233.397,-1.004,101.376,382.327,-250.562,301.338,46.220,-301.600,51.940
70,44438.403000,233.397,-5.020,99.328,386.151,-246.984,294.458,96.220,-348.600,61.940
71,44438.440000,232.415,-3.012,99.328,390.849,-248.851,289.452,192.220,-368.600,67.940
72,44438.480000,230.449,-9.035,99.328,395.651,-243.350,286.592,290.220,-381.600,75.940
73,44438.520000,228.484,-9.035,87.040,398.540,-239.648,286.675,385.220,-337.600,63.940
74,44438.563000,240.276,-2.008,87.040,406.091,-240.542,282.689,473.220,-372.600,40.940
75,44438.620000,242.242,0.000,77.824,410.025,-229.518,281.935,517.220,-400.600,30.940
76,44438.641000,245.190,8.031,71.680,412.016,-222.184,281.099,561.220,-357.600,16.940
77,44438.661000,243.225,4.016,67.584,412.976,-221.236,282.115,533.220,-280.600,21.940
78,44438.701000,241.259,13.051,61.440,416.724,-223.934,282.063,365.220,-177.600,31.940
79,44438.741000,247.155,9.035,63.488,415.017,-210.237,281.358,246.220,-99.600,39.940
80,44438.781000,242.242,10.039,63.488,418.723,-216.502,286.203,161.220,-71.600,57.940
81,44438.822000,242.242,13.051,59.392,417.841,-211.914,287.294,47.220,3.400,58.940
82,44438.867000,243.225,8.031,64.512,415.907,-214.727,285.242,-14.780,29.400,61.940
83,44438.882000,247.155,6.024,71.680,418.748,-214.670,286.242,-42.780,2.400,65.940
84,44438.922000,243.225,6.024,73.728,414.911,-218.404,285.162,-19.780,-28.600,59.940
85,44438.963000,241.259,3.012,71.680,414.956,-214.798,282.255,-6.780,-46.600,41.940
86,44439.5000,240.276,4.016,68.608,416.745,-222.141,280.112,-11.780,-61.600,0.940
87,44439.41000,243.225,7.027,66.560,414.969,-213.882,282.275,22.220,-60.600,-8.060
