Sample, Time, ACCX, ACCY, ACCZ, MAGX, MAGY, MAGZ, GYRX, GYRY, GYRZ
0,52897.689000,238.035,-50.599,-43.659,433.904,-335.482,-34.454,-40.150,38.630,-17.930
1,52897.734000,242.027,-46.591,-40.682,436.065,-320.324,-34.028,-27.150,-25.370,-25.930
2,52897.771000,243.025,-51.601,-45.643,439.932,-321.241,-35.031,24.850,-31.370,-56.930
3,52897.789000,242.027,-51.601,-45.643,437.918,-326.050,-37.135,39.850,-34.370,-95.930
4,52897.831000,243.025,-51.601,-43.659,437.014,-321.362,-37.990,65.850,-29.370,-122.930
5,52897.877000,250.012,-42.583,-42.667,442.909,-316.525,-36.862,61.850,-80.370,-138.930
6,52897.910000,253.006,-43.585,-42.667,443.832,-319.427,-39.892,75.850,-91.370,-102.930
7,52897.960000,258.994,-50.599,-37.705,446.870,-310.849,-38.665,59.850,-82.370,-92.930
8,52897.989000,252.008,-47.593,-32.744,442.916,-315.658,-39.789,101.850,-24.370,-90.930
9,52898.29000,250.012,-46.591,-47.628,449.803,-309.756,-34.695,156.850,23.630,-94.930
10,52898.78000,242.027,-40.579,-36.713,446.898,-309.719,-31.748,198.850,73.630,-120.930
11,52898.94000,241.029,-33.566,-35.721,451.839,-303.897,-28.627,130.850,8.630,-140.930
12,52898.128000,243.025,-31.562,-37.705,454.685,-308.558,-27.768,47.850,6.630,-165.930
13,52898.168000,237.037,-39.577,-34.729,457.813,-293.439,-29.310,-58.150,2.630,-274.930
14,52898.209000,245.021,-26.552,-26.791,464.587,-294.367,-32.275,-74.150,-70.370,-384.930
15,52898.259000,238.035,-26.552,-10.915,470.578,-282.911,-30.963,85.850,-67.370,-352.930
16,52898.293000,226.058,-16.532,-43.659,472.480,-284.933,-36.917,65.850,-179.370,-126.930
17,52898.333000,254.004,-2.505,-71.442,472.582,-277.473,-40.644,-101.150,-262.370,52.070
18,52898.373000,263.984,2.505,-77.395,469.649,-277.016,-57.358,-430.150,-385.370,-17.930
19,52898.394000,286.940,1.503,-84.341,468.714,-273.511,-67.098,-645.150,-288.370,-42.930
20,52898.428000,264.982,1.503,-66.481,472.566,-273.850,-81.855,-766.150,-163.370,-90.930
21,52898.477000,250.012,14.528,-57.550,468.767,-266.683,-94.449,-754.150,-85.370,-24.930
22,52898.510000,259.992,25.550,-59.535,469.641,-271.766,-108.359,-806.150,-14.370,135.070
23,52898.550000,256.000,8.517,-57.550,471.678,-264.357,-115.035,-764.150,31.630,170.070
24,52898.592000,256.000,11.523,-55.566,469.687,-266.566,-125.919,-738.150,18.630,85.070
25,52898.633000,251.010,24.548,-71.442,465.902,-259.214,-131.623,-594.150,54.630,82.070
26,52898.668000,237.037,17.534,-68.465,471.661,-263.045,-136.638,-557.150,78.630,95.070
27,52898.688000,226.058,2.505,-74.419,465.886,-258.663,-146.362,-603.150,18.630,107.070
28,52898.728000,212.086,-3.507,-66.481,461.952,-261.686,-151.371,-633.150,4.630,94.070
29,52898.772000,196.117,4.509,-70.450,457.067,-262.938,-160.266,-691.150,-69.370,144.070
30,52898.812000,190.129,14.528,-77.395,454.254,-254.784,-171.847,-801.150,-55.370,323.070
31,52898.862000,199.111,-13.526,-44.651,452.193,-261.747,-183.848,-759.150,-77.370,408.070
32,52898.888000,255.002,-53.605,-27.783,447.402,-256.405,-193.543,-575.150,-156.370,79.070
33,52898.929000,312.889,-23.546,-17.860,444.520,-252.980,-205.256,-552.150,-136.370,-178.930
34,52898.974000,378.760,-40.579,-35.721,449.523,-241.774,-212.805,-470.150,-222.370,-124.930
35,52898.988000,307.899,-11.523,-16.868,450.549,-238.739,-205.833,70.850,219.630,-291.930
36,52899.38000,244.023,8.517,-5.953,459.364,-234.517,-193.898,270.850,352.630,-365.930
37,52899.72000,213.084,-13.526,2.977,461.358,-231.495,-187.909,331.850,231.630,-347.930
38,52899.120000,205.099,-33.566,-24.806,466.361,-221.812,-181.729,445.850,42.630,-281.930
39,52899.149000,209.092,-29.558,-39.690,466.265,-229.192,-175.050,591.850,-24.370,-297.930
40,52899.189000,241.029,3.507,-61.519,477.986,-225.008,-166.061,671.850,10.630,-387.930
41,52899.229000,256.998,3.507,-92.279,477.073,-221.213,-164.973,711.850,-79.370,-181.930
42,52899.249000,253.006,12.524,-88.310,478.079,-219.964,-154.117,600.850,30.630,-173.930
43,52899.289000,274.963,19.538,-92.279,480.880,-228.275,-148.442,603.850,9.630,-79.930
44,52899.329000,266.979,8.517,-92.279,482.886,-224.334,-143.411,562.850,-63.370,-54.930
45,52899.369000,246.020,20.540,-73.426,484.710,-233.499,-133.827,502.850,77.630,-58.930
46,52899.409000,229.053,16.532,-58.543,485.734,-230.491,-127.840,472.850,79.630,-35.930
47,52899.454000,228.055,14.528,-53.581,486.672,-233.208,-123.979,428.850,-51.370,-44.930
48,52899.492000,247.018,25.550,-60.527,484.776,-230.346,-121.936,229.850,-110.370,-3.930
49,52899.532000,241.029,0.501,-59.535,485.681,-235.008,-120.097,154.850,-34.370,-74.930
50,52899.558000,246.020,10.521,-66.481,482.897,-226.486,-117.897,231.850,-7.370,-68.930
51,52899.602000,249.014,20.540,-61.519,489.560,-235.767,-115.193,385.850,60.630,-40.930
52,52899.634000,262.986,20.540,-72.434,486.694,-233.680,-106.288,449.850,6.630,39.070
53,52899.674000,252.008,21.542,-59.535,487.528,-243.884,-99.685,497.850,27.630,50.070
54,52899.714000,260.990,26.552,-59.535,488.567,-239.142,-99.551,419.850,40.630,-70.930
55,52899.749000,263.984,29.558,-58.543,494.407,-238.849,-91.664,488.850,196.630,-145.930
56,52899.789000,247.018,40.579,-39.690,490.580,-236.644,-77.839,428.850,147.630,-159.930
57,52899.835000,238.035,47.593,-41.674,494.447,-238.323,-71.977,217.850,143.630,-89.930
58,52899.858000,238.035,31.562,-48.620,492.996,-233.476,180.942,60.850,123.630,-19.930
59,52899.892000,232.047,6.513,-45.643,491.550,-238.180,-65.093,-1.150,-21.370,104.070
60,52899.933000,230.051,-6.513,-57.550,488.583,-242.003,-65.204,113.850,-15.370,233.070
61,52899.977000,235.041,1.503,-48.620,487.494,-250.449,-62.490,196.850,33.630,305.070
62,52900.10000,252.008,-4.509,-51.597,481.464,-264.716,-62.897,166.850,-87.370,386.070
63,52900.52000,277.957,3.507,-63.504,476.485,-273.322,-64.129,-74.150,-75.370,469.070
64,52900.99000,268.975,-2.505,-51.597,465.698,-281.038,-64.361,-216.150,29.630,419.070
65,52900.132000,245.021,-16.532,-57.550,461.791,-282.170,-69.317,-251.150,-36.370,326.070
66,52900.152000,237.037,-14.528,-48.620,457.747,-292.759,-74.537,-328.150,139.630,305.070
67,52900.194000,260.990,-33.566,-42.667,453.924,-288.979,-72.471,-425.150,131.630,139.070
68,52900.235000,255.002,-38.575,-44.651,450.888,-297.530,-72.714,-299.150,204.630,184.070
69,52900.269000,235.041,-35.569,-34.729,451.929,-292.762,-71.596,-194.150,171.630,215.070
70,52900.310000,251.010,-33.566,-44.651,447.896,-303.219,-71.894,-182.150,62.630,182.070
71,52900.350000,256.998,-22.544,-45.643,444.990,-303.181,-68.947,-174.150,226.630,153.070
72,52900.390000,239.033,-29.558,-42.667,445.870,-308.947,-73.040,-232.150,113.630,142.070
73,52900.439000,233.045,-31.562,-33.736,443.968,-306.164,-73.949,-284.150,-13.370,75.070
74,52900.453000,242.027,-40.579,-41.674,443.910,-309.211,-81.903,-264.150,-47.370,24.070
75,52900.493000,250.012,-46.591,-47.628,443.035,-301.844,-88.585,-262.150,-63.370,-8.930
76,52900.535000,253.006,-43.585,-43.659,442.008,-305.667,-89.676,-231.150,-4.370,-29.930
77,52900.572000,253.006,-35.569,-48.620,440.037,-307.612,-90.717,-168.150,9.630,4.070
78,52900.618000,249.014,-32.564,-50.605,440.060,-305.773,-92.634,-112.150,18.630,26.070
79,52900.652000,245.021,-31.562,-54.574,439.045,-308.677,-94.683,-126.150,-11.370,32.070
80,52900.693000,245.021,-35.569,-52.589,444.016,-300.176,-97.389,-130.150,-13.370,11.070
