Sample, Time, ACCX, ACCY, ACCZ, MAGX, MAGY, MAGZ, GYRX, GYRY, GYRZ
0,33472.846000,252.008,-22.544,-12.899,473.652,-278.453,28.183,26.850,0.630,-13.930
1,33472.886000,254.004,-21.542,-12.899,476.562,-278.438,27.205,29.850,5.630,-9.930
2,33472.906000,253.006,-19.538,-9.922,477.441,-284.991,28.991,33.850,16.630,-8.930
3,33472.946000,254.004,-20.540,-9.922,474.529,-285.033,28.985,38.850,22.630,-9.930
4,33472.986000,253.006,-20.540,-9.922,477.537,-278.372,29.176,41.850,23.630,-6.930
5,33473.26000,254.004,-20.540,-11.907,477.459,-283.993,30.986,40.850,20.630,-3.930
6,33473.65000,254.004,-20.540,-8.930,479.457,-280.157,32.080,34.850,21.630,-0.930
7,33473.107000,253.006,-19.538,-9.922,472.676,-279.307,32.092,41.850,23.630,-2.930
8,33473.147000,253.006,-19.538,-8.930,477.579,-276.296,36.119,35.850,21.630,-2.930
9,33473.187000,254.004,-19.538,-9.922,476.478,-284.900,32.927,19.850,18.630,-8.930
10,33473.207000,251.010,-20.540,-8.930,480.461,-278.173,35.088,18.850,12.630,-14.930
11,33473.254000,251.010,-20.540,-10.915,474.541,-284.875,34.891,14.850,8.630,-5.930
12,33473.288000,255.002,-18.536,-11.907,473.696,-276.351,36.111,6.850,0.630,-10.930
13,33473.328000,253.006,-19.538,-10.915,478.463,-282.009,33.994,4.850,1.630,-7.930
14,33473.367000,255.002,-20.540,-7.938,477.537,-279.133,36.040,3.850,2.630,-6.930
15,33473.408000,253.006,-19.538,-11.907,478.412,-285.739,35.857,-2.150,3.630,-4.930
16,33473.448000,254.004,-20.540,-11.907,478.467,-281.956,35.963,-8.150,9.630,-2.930
17,33473.468000,255.002,-19.538,-10.915,477.480,-282.942,34.950,-12.150,15.630,0.070
18,33473.508000,253.006,-17.534,-7.938,479.524,-276.216,38.091,-6.150,19.630,-4.930
19,33473.554000,256.000,-10.521,-4.961,478.551,-276.256,37.105,-40.150,30.630,5.070
20,33473.588000,255.002,-13.526,-5.953,477.596,-275.298,38.114,-78.150,50.630,9.070
21,33473.627000,253.006,-14.528,-4.961,477.469,-283.861,35.908,-105.150,58.630,4.070
22,33473.667000,252.008,-11.523,-5.953,477.563,-277.268,35.108,-125.150,57.630,2.070
23,33473.707000,253.006,-12.524,-5.953,480.410,-281.903,36.951,-125.150,70.630,-3.930
24,33473.747000,255.002,-13.526,-4.961,478.565,-275.311,37.131,-117.150,58.630,-1.930
25,33473.767000,255.002,-10.521,-3.969,473.561,-285.781,36.832,-118.150,66.630,-0.930
26,33473.807000,253.006,-5.511,-3.969,475.506,-285.701,38.804,-136.150,59.630,-5.930
27,33473.847000,254.004,-8.517,-2.977,472.613,-283.957,34.914,-157.150,45.630,6.070
28,33473.887000,254.004,-11.523,-1.984,476.575,-278.280,33.111,-164.150,43.630,26.070
29,33473.927000,254.004,-10.521,0.000,473.588,-283.129,30.020,-166.150,48.630,37.070
30,33473.967000,255.002,-10.521,2.977,475.570,-280.264,30.103,-225.150,62.630,53.070
31,33474.13000,255.002,-13.526,4.961,472.546,-287.897,28.902,-291.150,72.630,61.070
32,33474.47000,251.010,-12.524,7.938,470.672,-283.223,28.045,-333.150,91.630,54.070
33,33474.68000,248.016,-19.538,10.915,467.644,-290.908,24.876,-402.150,198.630,39.070
34,33474.108000,254.004,-22.544,3.969,467.685,-287.310,18.091,-593.150,202.630,38.070
35,33474.148000,266.979,-28.556,0.992,465.616,-295.901,15.881,-625.150,182.630,117.070
36,33474.188000,242.027,-64.626,8.930,462.764,-291.319,12.069,-530.150,38.630,180.070
37,33474.237000,232.047,-92.681,-10.915,461.652,-300.842,9.835,-200.150,-50.370,135.070
38,33474.272000,255.002,-65.628,-12.899,458.691,-303.825,5.813,140.850,-79.370,89.070
39,33474.312000,251.010,-45.589,-18.853,458.669,-305.637,8.713,259.850,-120.370,92.070
40,33474.352000,252.008,-49.597,-18.853,455.816,-301.843,10.781,335.850,-130.370,16.070
41,33474.372000,245.021,-47.593,-7.938,461.619,-303.573,13.694,312.850,-146.370,-35.930
42,33474.412000,255.002,-40.579,4.961,459.803,-295.064,14.911,292.850,-124.370,-49.930
43,33474.452000,260.990,-35.569,3.969,461.688,-298.845,13.825,86.850,32.630,-42.930
44,33474.492000,263.984,-33.566,22.822,460.735,-297.861,15.818,-45.150,4.630,-17.930
45,33474.532000,248.016,-50.599,20.837,461.660,-300.736,13.773,-89.150,-49.370,31.070
46,33474.572000,224.062,-66.630,11.907,462.664,-297.991,9.916,71.850,-16.370,-63.930
47,33474.612000,240.031,-24.548,8.930,470.465,-295.884,13.922,284.850,-10.370,-209.930
48,33474.657000,279.953,-23.546,9.922,469.545,-292.930,18.921,185.850,79.630,-30.930
49,33474.672000,258.994,-35.569,16.868,470.493,-294.755,20.839,230.850,128.630,-87.930
50,33474.717000,246.020,-14.528,17.860,474.551,-283.982,32.949,238.850,107.630,-197.930
51,33474.753000,248.016,-1.503,-5.953,476.518,-282.851,38.885,340.850,82.630,-173.930
52,33474.788000,257.996,-2.505,-35.721,477.664,-271.358,44.125,412.850,75.630,-168.930
53,33474.828000,260.990,22.544,-33.736,484.429,-273.940,49.966,269.850,3.630,-143.930
54,33474.873000,259.992,24.548,-24.806,483.610,-263.552,50.254,77.850,-19.370,-101.930
55,33474.913000,257.996,20.540,-18.853,485.451,-270.197,48.105,-87.150,-20.370,-130.930
56,33474.953000,250.012,15.530,-16.868,484.611,-260.833,45.413,-127.150,-32.370,-106.930
57,33474.973000,249.014,3.507,-19.845,488.456,-262.801,40.447,-79.150,-82.370,-22.930
58,33475.13000,244.023,13.526,-18.853,484.572,-262.882,39.454,-59.150,-97.370,88.070
59,33475.53000,252.008,14.528,-12.899,482.507,-271.420,39.213,-67.150,-67.370,117.070
60,33475.88000,257.996,12.524,-6.946,481.471,-275.348,34.184,-48.150,-67.370,79.070
61,33475.128000,256.000,0.501,-3.969,477.651,-271.516,38.219,-56.150,-84.370,79.070
62,33475.169000,262.986,-14.528,3.969,475.728,-269.783,33.346,-0.150,-94.370,32.070
63,33475.214000,247.018,-0.501,0.000,478.543,-276.362,33.168,-3.150,-131.370,-15.930
64,33475.234000,245.021,-3.507,0.992,476.672,-270.873,27.415,-43.150,-65.370,83.070
65,33475.279000,256.998,-22.544,9.922,476.633,-273.684,28.321,-48.150,-17.370,92.070
66,33475.308000,251.010,-18.536,5.953,470.652,-284.247,25.066,-96.150,-44.370,43.070
67,33475.349000,256.000,-5.511,3.969,469.803,-275.777,24.317,-227.150,11.630,58.070
68,33475.391000,239.033,-17.534,5.953,468.844,-274.871,23.357,-317.150,129.630,17.070
69,33475.432000,251.010,-21.542,7.938,472.672,-278.599,23.259,-390.150,169.630,-52.930
70,33475.472000,278.955,-22.544,4.961,465.802,-283.502,20.161,-472.150,186.630,41.070
